label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47	Otu48	Otu49	Otu50	Otu51	Otu52	Otu53	Otu54	Otu55	Otu56	Otu57	Otu58	Otu59	Otu60	Otu61	Otu62	Otu63	Otu64	Otu65	Otu66	Otu67	Otu68	Otu69	Otu70	Otu71	Otu72	Otu73	Otu74	Otu75	Otu76	Otu77	Otu78	Otu79	Otu80	Otu81	Otu82	Otu83	Otu84	Otu85	Otu86	Otu87	Otu88	Otu89
0.03	south25_active	80	6963	1164	542	719	819	389	300	320	656	399	73	132	130	80	135	37	43	62	37	26	48	10	16	12	19	10	28	12	9	3	9	6	5	7	6	2	1	2	4	5	1	2	2	2	4	2	5	1	7	2	0	1	4	0	2	0	1	2	0	2	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south26_all	80	10544	2873	1616	1409	1385	814	617	559	797	541	229	246	220	166	206	100	110	113	83	63	73	31	43	43	50	39	43	25	24	8	19	21	14	11	8	10	4	11	8	8	3	9	6	7	5	4	7	6	5	1	1	2	6	2	2	0	2	1	3	4	1	1	0	2	0	0	2	0	1	0	1	0	0	0	0	1	2	0	0	1	1	1	0	0	0	0	0	0	0	0
0.03	south26_active	80	6615	1130	549	679	810	363	302	316	574	357	73	118	113	83	120	37	46	63	34	24	47	8	11	14	18	14	32	11	9	2	11	8	6	5	3	5	2	3	4	3	1	4	4	2	4	3	2	4	5	0	1	2	4	1	0	0	1	0	0	2	0	0	0	2	0	0	2	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south27_all	80	10726	2883	1604	1400	1443	800	616	553	845	549	245	263	243	164	182	104	114	116	95	62	65	31	46	42	47	41	42	21	26	10	21	22	13	10	7	13	5	12	11	6	8	4	5	6	4	6	4	8	6	8	1	3	6	2	2	0	1	2	1	4	1	1	0	1	1	0	2	0	0	0	1	0	0	2	0	1	2	0	0	1	1	0	0	0	0	0	0	0	0	1
0.03	south27_active	80	6830	1134	545	652	857	366	289	316	606	365	75	121	124	83	105	32	51	64	39	19	39	13	9	15	16	14	34	8	10	1	12	12	6	4	2	6	3	4	4	0	4	3	4	2	2	5	2	5	6	0	1	2	3	1	0	0	0	1	0	2	0	0	0	1	0	0	2	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south28_all	80	10142	2801	1619	1349	1405	792	600	572	781	517	236	238	239	177	175	109	99	109	103	56	56	31	53	39	40	36	45	22	24	10	18	21	13	10	5	10	7	13	8	9	8	4	4	6	2	6	4	8	5	8	3	5	1	2	2	0	1	2	1	2	0	0	0	1	1	0	2	0	0	0	1	0	1	2	0	0	2	1	0	1	1	0	0	0	0	1	0	0	0	1
0.03	south28_active	80	6267	1066	572	618	817	359	263	312	548	323	76	95	113	84	102	33	46	60	44	17	31	14	12	15	12	12	36	9	10	2	10	13	5	6	2	5	4	4	2	2	3	3	3	3	0	6	2	4	4	0	1	2	0	1	0	0	0	1	0	0	0	0	0	1	0	0	2	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south29_all	80	9801	2815	1640	1350	1418	808	620	560	761	521	231	223	225	180	187	102	102	106	92	50	64	35	51	38	33	29	39	24	26	11	14	15	15	11	7	10	6	11	9	6	7	5	1	6	4	9	2	9	3	10	3	4	2	2	0	0	1	2	1	0	0	0	0	0	1	0	0	0	0	0	1	0	1	2	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0	1
0.03	south29_active	80	5959	1058	609	603	829	374	264	296	529	330	79	90	104	86	121	32	43	51	36	13	40	19	18	16	11	9	29	8	10	3	5	10	6	6	3	3	3	3	3	2	3	1	0	3	2	8	1	4	2	1	1	1	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south30_all	80	9852	2825	1678	1353	1437	795	651	630	692	542	221	227	233	178	196	98	103	104	95	57	73	37	52	35	33	24	52	25	29	12	13	14	11	10	7	15	4	7	9	7	6	6	0	5	6	7	5	6	2	4	2	3	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	1	0	0	3	0	0	0	0	1	0	0	0	1
0.03	south30_active	80	6009	1074	645	611	825	374	293	312	476	343	73	103	107	82	134	35	45	51	45	19	46	20	20	15	12	5	39	11	12	3	4	8	3	6	3	5	1	2	3	4	2	1	0	2	2	6	4	3	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0
0.03	south31_all	80	10184	2837	1574	1442	1357	817	609	605	766	532	222	250	238	169	209	116	101	119	89	52	62	49	42	37	41	24	56	25	17	14	18	15	13	11	14	10	5	10	10	6	4	9	6	0	3	3	8	0	1	1	5	1	3	1	2	0	0	2	2	0	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south31_active	80	6249	1129	549	694	799	395	301	321	551	356	78	117	134	85	140	49	40	62	35	20	31	19	18	15	19	10	31	10	9	6	6	7	7	3	5	3	1	6	4	3	2	3	3	0	1	2	4	0	1	1	2	0	1	0	2	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
