label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47	Otu48	Otu49	Otu50	Otu51	Otu52	Otu53	Otu54	Otu55	Otu56	Otu57	Otu58	Otu59	Otu60	Otu61	Otu62	Otu63	Otu64	Otu65	Otu66	Otu67	Otu68	Otu69	Otu70	Otu71	Otu72	Otu73	Otu74	Otu75	Otu76	Otu77	Otu78	Otu79	Otu80	Otu81	Otu82	Otu83	Otu84	Otu85	Otu86	Otu87	Otu88	Otu89	Otu90	Otu91	Otu92
0.03	south34_active	80	4843	1915	901	491	554	391	256	215	250	171	173	157	100	91	97	129	33	46	36	30	23	76	29	20	18	16	37	25	9	12	13	18	4	11	11	9	6	2	12	9	0	4	3	1	4	3	1	1	3	2	2	0	1	1	0	0	0	0	0	1	0	1	0	0	1	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south35_all	80	9730	3930	2023	1196	1212	830	641	547	528	347	375	356	225	188	194	253	97	95	89	62	70	136	60	56	37	36	60	59	24	26	18	35	13	24	18	15	16	4	28	17	6	10	9	12	1	4	1	0	5	5	3	7	2	1	4	0	1	0	1	2	0	1	0	0	1	2	1	0	1	0	2	2	0	0	0	1	0	0	2	0	0	0	0	0	0	3	0	0	0	0	0	0	0
0.03	south35_active	80	4883	1915	893	474	559	399	270	238	252	164	175	171	103	85	91	113	37	46	38	29	32	68	34	20	15	19	37	30	9	11	12	15	3	12	6	10	11	0	13	9	3	8	7	6	0	1	1	0	3	4	2	5	1	1	2	0	0	0	0	2	0	1	0	0	1	2	0	0	1	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south36_all	80	9771	4011	2032	1232	1277	850	615	568	518	335	407	388	210	207	200	276	100	103	94	66	72	142	51	67	34	32	55	62	21	29	20	39	16	25	19	10	15	4	29	13	11	12	9	11	2	4	0	1	3	5	6	10	2	1	6	0	1	0	1	4	0	0	0	0	1	2	1	0	1	0	2	1	1	0	0	2	0	0	2	0	0	0	0	0	0	3	0	0	0	0	0	0	0
0.03	south36_active	80	4920	1937	877	501	613	434	252	259	261	156	184	189	97	96	93	131	49	39	44	34	36	71	24	25	13	18	32	28	4	12	10	18	6	12	8	6	12	1	14	5	7	10	7	7	1	2	0	0	2	4	4	7	1	0	4	0	0	0	0	4	0	0	0	0	1	2	0	0	1	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south37_all	80	9733	3882	2064	1254	1231	874	620	584	522	317	386	352	183	204	203	258	96	103	76	85	70	133	45	65	34	37	54	69	28	27	26	36	15	17	15	11	14	4	30	11	11	11	11	11	5	3	1	1	1	5	5	10	1	3	6	0	1	0	0	3	0	0	0	0	1	2	1	1	1	0	2	1	1	0	0	1	0	0	2	0	0	0	0	0	0	3	0	0	0	0	0	0	0
0.03	south37_active	80	4850	1914	902	518	594	433	260	275	256	161	177	176	80	87	104	120	52	37	31	42	36	77	17	25	14	21	29	32	8	12	8	19	6	7	7	7	12	2	17	3	8	8	7	9	5	1	0	0	1	4	2	7	0	1	4	0	0	0	0	3	0	0	0	0	1	2	0	0	1	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south38_all	80	9808	3930	2025	1266	1247	840	618	579	506	319	346	338	179	216	209	265	111	105	85	101	65	143	46	49	30	38	46	62	37	22	24	27	11	16	10	8	11	4	22	3	14	8	7	7	6	2	1	3	1	2	4	6	0	4	5	1	0	0	0	2	2	0	1	0	1	1	1	1	1	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0
0.03	south38_active	80	4932	1901	876	542	616	406	266	267	252	162	162	162	76	93	111	126	56	38	29	53	30	84	17	18	11	21	23	33	15	10	5	12	5	8	5	5	4	3	13	2	10	6	2	6	6	2	0	2	1	1	2	3	0	2	4	0	0	0	0	2	2	0	1	0	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south39_all	80	10002	3882	2049	1290	1204	850	586	552	491	325	332	331	160	204	216	258	108	100	76	103	59	117	46	45	36	37	38	46	41	25	24	20	11	13	11	10	18	7	21	8	8	8	6	7	8	2	1	2	1	4	5	7	1	4	1	1	0	0	1	0	2	0	1	0	1	1	0	1	1	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south39_active	80	5019	1898	902	573	577	379	260	238	225	154	158	160	64	86	112	128	50	43	27	52	26	62	18	25	18	21	22	24	19	13	7	10	4	6	5	4	10	7	13	0	4	3	0	5	6	2	0	2	1	1	3	4	1	2	0	0	0	0	1	0	2	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south40_all	80	9992	3937	2044	1268	1220	860	581	554	520	349	328	318	176	205	209	277	104	84	80	91	67	125	52	35	32	36	40	37	42	24	15	19	11	10	11	14	18	6	17	12	15	6	6	4	7	3	0	2	2	8	11	6	1	3	2	1	0	0	4	0	2	1	2	0	1	1	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
0.03	south40_active	80	5019	1888	868	564	578	395	259	238	231	156	149	152	69	89	116	142	46	37	34	44	23	63	24	20	15	21	20	26	24	15	7	11	3	5	6	7	10	6	8	4	8	3	0	2	5	3	0	2	1	3	8	5	1	1	0	0	0	0	3	0	2	1	2	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
