label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47	Otu48	Otu49	Otu50	Otu51	Otu52	Otu53	Otu54	Otu55	Otu56	Otu57	Otu58	Otu59	Otu60	Otu61	Otu62	Otu63	Otu64	Otu65	Otu66	Otu67	Otu68	Otu69	Otu70	Otu71	Otu72	Otu73	Otu74	Otu75	Otu76	Otu77	Otu78	Otu79	Otu80	Otu81	Otu82	Otu83	Otu84	Otu85	Otu86
0.03	north11_all	80	5752	2475	1990	934	698	620	486	855	357	600	179	324	126	119	123	247	106	189	182	61	54	96	49	42	21	24	34	53	12	18	23	26	14	24	10	15	10	7	8	9	6	4	1	0	3	4	2	3	3	4	4	2	5	0	2	0	2	1	2	0	1	1	0	0	0	0	1	0	0	0	1	1	0	0	2	1	0	0	0	0	0	0	0	1	0	0	0
0.03	north11_active	80	2578	974	1051	291	218	243	225	549	181	409	49	179	42	50	51	146	59	120	125	30	29	59	20	18	8	8	16	28	4	7	9	17	4	10	3	12	4	4	2	8	4	0	0	0	3	3	0	3	0	1	2	1	3	0	0	0	2	1	2	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north12_all	80	5764	2475	2009	933	711	618	493	886	322	615	172	301	127	119	113	251	95	189	175	68	63	92	43	42	24	25	31	46	14	15	24	23	12	24	10	17	12	6	7	15	9	3	1	0	0	4	5	6	1	6	3	2	3	0	5	0	1	1	1	0	1	1	0	0	0	1	0	1	0	0	1	0	0	0	2	1	0	0	0	0	0	0	0	1	0	0	0
0.03	north12_active	80	2601	1026	1101	300	228	241	238	554	155	401	51	161	40	49	45	156	57	130	131	28	32	63	19	19	9	11	12	24	4	5	13	15	4	11	4	12	5	4	2	9	7	0	0	0	0	3	1	5	0	3	2	1	2	0	0	0	1	1	1	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north13_all	80	5797	2435	1987	979	742	600	535	884	314	575	178	275	131	113	132	273	97	184	160	74	60	88	47	35	25	30	22	32	16	17	24	18	13	16	13	18	9	7	9	19	10	2	1	0	0	3	5	7	2	11	2	3	2	1	4	0	2	0	2	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
0.03	north13_active	80	2650	1030	1055	295	257	265	272	548	139	342	50	136	38	47	54	184	61	133	113	28	23	62	23	11	10	16	6	22	6	6	13	12	5	9	7	13	5	3	1	13	9	0	1	0	0	2	1	6	1	5	1	1	1	0	0	0	0	0	2	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north14_all	80	5771	2432	1915	1000	766	575	558	928	319	592	179	275	133	119	122	274	114	155	166	81	63	121	35	35	25	28	19	38	19	15	33	11	11	17	20	10	8	5	9	15	6	2	1	2	1	2	6	7	3	11	1	1	1	1	5	1	2	0	2	0	0	1	0	1	0	1	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
0.03	north14_active	80	2632	990	994	298	268	242	275	582	123	362	51	142	39	57	53	191	70	111	112	27	26	90	16	8	8	16	7	28	6	7	20	8	4	8	12	6	5	2	2	8	6	0	1	1	1	0	1	6	2	5	1	0	0	0	0	1	0	0	2	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north15_all	80	5723	2403	1863	996	774	594	574	893	338	592	192	287	148	118	104	279	119	143	181	73	58	126	39	32	22	26	24	37	13	16	27	13	14	18	20	15	11	5	14	12	5	4	3	3	1	2	3	2	5	14	0	1	2	3	2	2	3	0	2	0	0	0	0	1	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north15_active	80	2601	945	953	302	266	263	280	552	137	368	49	155	43	52	50	211	68	103	110	31	26	96	21	10	3	15	14	28	2	8	17	8	4	9	15	12	7	2	6	10	5	1	1	2	1	1	0	2	5	10	0	0	0	1	0	2	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
