label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47	Otu48	Otu49	Otu50	Otu51	Otu52	Otu53	Otu54	Otu55	Otu56	Otu57	Otu58	Otu59	Otu60	Otu61	Otu62
0.03	south30_active	80	31833	21719	5023	13183	2997	649	761	984	2453	327	886	146	500	345	54	376	369	46	130	77	92	43	10	27	6	21	29	38	2	7	12	23	4	7	14	2	5	2	0	1	5	0	1	0	1	1	1	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0
0.03	south31_all	80	48297	27812	9830	14672	5116	2728	2091	1783	2766	898	1102	564	704	471	299	509	458	171	157	131	110	70	54	47	42	43	22	55	22	16	18	30	6	11	10	5	1	2	4	3	4	4	2	2	1	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south31_active	80	31864	22039	4965	12966	3122	590	817	953	2401	302	842	155	506	304	59	419	397	66	92	85	84	49	9	16	8	22	8	47	11	11	11	26	4	4	10	2	1	1	1	2	4	4	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south32_all	80	48621	27758	9991	14773	5112	2744	2074	1812	2878	922	1059	543	676	465	285	513	472	158	194	145	118	72	52	53	38	43	16	62	18	23	16	16	6	9	9	6	0	3	3	2	8	4	2	3	1	0	1	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south32_active	80	32114	22081	5108	13093	3159	606	828	948	2499	315	778	143	490	303	58	429	406	56	129	95	91	49	10	23	7	26	7	57	6	14	10	12	4	3	9	2	0	1	0	1	7	4	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south33_all	80	48580	27696	9968	14749	5056	2736	2085	1773	2881	908	1041	566	602	460	298	469	438	146	239	134	131	76	54	50	30	43	15	70	15	22	12	12	7	7	8	7	2	2	2	2	9	5	2	3	3	0	2	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south33_active	80	31981	21880	5076	13047	3144	625	822	907	2496	304	784	141	407	307	70	385	380	50	159	86	99	53	11	22	7	27	7	63	7	15	9	7	3	1	7	3	0	0	0	1	7	4	1	1	2	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south34_all	80	48363	27954	10029	14564	4972	2726	2070	1757	2810	883	1064	552	597	444	282	517	496	143	227	125	127	93	48	45	23	31	16	57	17	19	16	13	3	7	10	7	2	2	1	0	9	2	0	3	2	0	2	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south34_active	80	31698	22142	5103	12891	3122	614	811	903	2416	285	809	138	416	267	62	432	451	49	162	67	88	64	14	22	7	19	9	52	8	10	12	7	0	0	9	4	0	0	0	0	7	1	0	1	2	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south35_all	80	46905	26590	9766	13685	4826	2774	2117	1697	2676	875	1021	564	617	426	278	485	438	138	184	117	118	82	38	45	24	35	20	38	20	13	17	14	8	4	26	8	2	1	0	3	1	2	0	2	2	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
