label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47	Otu48	Otu49	Otu50	Otu51	Otu52	Otu53	Otu54	Otu55	Otu56	Otu57	Otu58	Otu59	Otu60	Otu61	Otu62	Otu63	Otu64	Otu65	Otu66	Otu67	Otu68	Otu69	Otu70	Otu71	Otu72	Otu73	Otu74	Otu75	Otu76	Otu77	Otu78	Otu79	Otu80	Otu81	Otu82	Otu83	Otu84	Otu85	Otu86	Otu87	Otu88	Otu89	Otu90	Otu91	Otu92	Otu93	Otu94	Otu95	Otu96	Otu97	Otu98	Otu99	Otu100	Otu101	Otu102	Otu103	Otu104	Otu105	Otu106	Otu107	Otu108	Otu109	Otu110	Otu111	Otu112	Otu113	Otu114	Otu115	Otu116	Otu117	Otu118	Otu119	Otu120	Otu121	Otu122	Otu123
0.03	north16_active	80	7925	4069	954	1000	664	1114	1005	331	239	230	189	125	321	83	81	205	51	93	72	36	45	39	131	31	33	39	24	35	16	25	36	10	13	34	13	14	13	15	9	0	17	9	8	4	5	4	9	7	21	4	1	2	5	0	4	5	3	4	7	3	1	1	1	2	0	1	0	0	2	3	0	3	1	2	0	0	1	1	1	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
0.03	north17_all	80	12394	6351	1774	1677	1240	1669	1435	600	424	460	328	237	539	157	172	343	145	166	130	94	84	71	205	62	53	79	45	95	29	48	62	20	36	54	21	29	21	19	16	11	29	18	12	4	13	5	4	15	20	6	1	7	4	1	4	5	4	4	8	4	0	3	1	3	0	1	0	2	3	4	1	4	1	1	0	0	1	1	3	0	1	0	1	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
0.03	north17_active	80	8030	4118	916	990	718	1033	960	370	230	243	183	115	359	82	87	222	54	106	71	42	48	35	131	32	30	43	21	59	17	31	43	9	22	22	13	14	15	13	9	1	17	14	4	2	7	3	0	6	11	4	0	3	3	0	4	2	3	3	7	2	0	2	1	2	0	1	0	0	2	1	0	3	1	0	0	0	1	1	1	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
0.03	north18_all	80	12224	6412	1789	1758	1283	1703	1413	581	408	467	326	235	531	153	173	344	140	168	144	96	84	71	170	62	56	80	41	100	38	48	71	27	35	43	23	33	20	25	16	16	20	16	8	8	11	10	3	15	14	4	4	8	5	2	3	4	5	4	9	4	2	3	1	1	1	1	0	1	3	4	2	1	8	1	0	0	1	0	3	4	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
0.03	north18_active	80	7968	4159	903	1069	763	1060	914	365	220	259	182	110	357	73	81	212	59	103	83	41	43	34	101	29	25	50	16	63	19	32	50	10	22	22	15	17	14	16	9	4	10	12	3	5	6	5	0	4	5	3	1	4	2	0	3	3	3	4	7	1	1	2	1	0	0	1	0	0	3	1	1	1	5	0	0	0	1	0	1	4	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
0.03	north19_all	80	11877	6031	1759	1779	1288	1650	1372	579	425	433	324	240	489	154	161	326	124	167	141	87	87	75	152	62	59	84	42	97	46	42	69	37	32	41	26	33	23	22	15	15	21	11	11	8	14	20	4	14	7	5	4	5	3	2	1	7	1	2	13	4	2	1	1	2	1	2	0	0	2	2	3	1	7	1	0	1	0	0	2	4	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0
0.03	north19_active	80	7673	3817	867	1085	741	1047	887	353	212	252	171	104	315	68	81	205	57	95	87	43	44	43	101	29	23	49	16	67	27	26	49	17	23	23	14	16	19	12	8	5	12	8	3	5	6	11	0	4	1	3	1	2	0	0	0	7	0	2	11	2	1	1	1	1	0	1	0	0	1	0	1	1	4	0	0	0	0	0	0	4	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0
0.03	north20_all	80	11373	5682	1704	1664	1266	1636	1238	554	438	431	309	245	436	165	158	294	115	156	138	97	83	86	149	63	54	79	42	91	45	35	52	32	26	49	28	28	28	25	14	18	23	10	10	12	17	20	7	18	10	5	4	8	4	2	1	12	2	5	12	5	2	1	2	2	2	2	0	0	2	2	2	1	7	2	1	1	0	0	1	4	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
0.03	north20_active	80	7217	3544	842	997	716	1096	759	302	210	241	149	114	288	72	74	186	52	78	90	51	36	49	104	27	19	43	21	59	24	24	38	14	14	29	15	17	20	12	7	7	8	5	3	7	8	11	2	7	3	3	1	3	0	0	0	9	1	5	10	3	1	1	1	1	0	1	0	0	1	1	1	1	4	1	0	0	0	0	0	4	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
0.03	south21_all	80	10487	3759	4178	1150	904	600	682	420	568	535	573	353	267	233	331	126	278	194	92	92	176	61	184	63	116	57	31	32	46	77	29	29	30	55	42	37	6	8	29	14	16	10	16	13	6	7	11	7	7	12	3	8	11	4	5	8	4	8	5	1	2	1	4	2	2	1	1	0	0	4	3	2	0	0	2	6	0	1	0	1	0	3	0	0	2	0	0	1	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
