label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47	Otu48	Otu49	Otu50	Otu51	Otu52	Otu53	Otu54	Otu55	Otu56	Otu57	Otu58	Otu59	Otu60	Otu61	Otu62	Otu63	Otu64	Otu65	Otu66	Otu67	Otu68	Otu69	Otu70	Otu71	Otu72	Otu73
0.03	north12_active	80	16982	2074	683	834	313	271	185	202	117	77	276	56	69	49	38	18	192	46	30	16	15	41	8	6	15	11	50	10	5	1	5	12	4	4	1	7	1	1	5	0	1	1	0	1	1	2	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0
0.03	north13_all	80	19767	4160	2207	1663	1055	731	608	458	380	284	386	212	185	161	130	110	223	87	61	56	50	71	31	19	30	24	55	16	14	8	8	10	5	3	8	5	3	7	5	2	1	0	0	2	1	3	1	1	0	3	0	0	0	0	0	0	2	1	0	0	0	0	0	0	1	0	0	0	1	0	1	0	0	0
0.03	north13_active	80	16869	2095	681	823	325	245	181	193	108	75	275	54	67	49	46	21	198	55	24	16	19	59	9	7	22	10	47	9	6	2	6	8	4	1	1	4	1	1	5	0	1	0	0	1	1	2	0	1	0	3	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0
0.03	north14_all	80	19549	4066	2189	1687	1055	740	589	468	366	317	395	207	181	152	126	110	221	85	55	53	42	68	23	23	38	21	49	23	19	11	12	13	4	5	5	5	4	5	0	1	1	1	2	4	1	4	1	1	1	3	0	0	0	1	0	0	2	2	0	0	0	0	0	1	0	0	0	0	1	0	1	0	0	0
0.03	north14_active	80	16633	2089	668	856	315	254	182	181	109	87	279	51	64	42	46	22	185	52	18	14	17	58	8	10	28	8	40	9	6	3	7	11	3	1	2	4	2	1	0	0	1	0	1	3	1	2	0	1	1	3	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0
0.03	north15_all	80	19689	4084	2147	1685	1039	753	616	453	352	319	387	199	182	143	115	106	242	105	54	48	43	60	26	29	38	25	34	23	18	10	10	13	9	3	6	10	6	7	4	2	3	1	4	4	0	7	1	2	1	3	1	0	1	1	0	0	1	2	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0
0.03	north15_active	80	16765	2113	637	878	295	251	199	170	100	86	265	50	60	33	50	25	204	65	12	13	20	51	11	12	28	12	27	7	6	3	4	12	7	0	2	7	3	1	4	1	2	0	2	3	0	6	0	2	1	3	0	0	1	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
0.03	north16_all	80	19963	4041	2117	1679	1013	772	606	485	356	316	383	192	181	134	118	99	244	110	58	48	52	58	29	37	33	20	39	21	16	8	15	12	10	5	4	14	5	4	6	3	3	3	4	4	0	6	1	4	7	3	1	0	3	1	0	0	2	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0
0.03	north16_active	80	17048	2098	654	872	284	266	180	185	98	92	268	46	54	29	48	27	211	66	13	18	30	49	10	17	20	8	34	7	6	3	9	11	7	1	2	9	3	1	6	1	2	0	2	3	0	4	0	3	7	3	0	0	1	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north17_all	80	20213	4100	2122	1696	1015	766	582	500	369	298	380	201	177	132	118	107	239	109	57	48	47	65	32	38	29	18	43	16	9	7	18	16	12	6	4	13	6	4	7	4	3	2	6	5	0	9	1	5	7	0	1	0	4	0	0	0	2	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0
0.03	north17_active	80	17308	2121	667	893	285	265	167	198	103	85	272	51	50	30	48	31	209	62	13	18	27	57	10	15	12	7	38	5	4	4	11	13	8	3	2	8	3	0	6	1	2	0	2	3	0	7	0	4	7	0	0	0	2	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
0.03	north18_all	80	20371	4061	2190	1712	991	767	626	529	402	293	394	203	190	127	122	97	214	95	53	50	52	71	20	35	31	15	35	13	10	8	13	15	11	7	5	7	5	6	6	4	1	3	4	3	0	6	1	6	6	0	1	1	4	0	0	1	2	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0
