label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47	Otu48	Otu49	Otu50	Otu51	Otu52	Otu53	Otu54	Otu55	Otu56	Otu57	Otu58	Otu59	Otu60	Otu61
0.03	south34_active	80	9183	6006	3558	1071	1767	443	508	259	147	149	119	133	135	108	39	80	34	16	14	29	16	13	16	7	11	7	7	2	9	3	2	1	0	1	1	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
0.03	south35_all	80	15344	9643	5453	1968	2779	922	883	485	308	291	221	262	233	182	76	134	68	50	32	50	38	22	15	16	20	6	16	3	12	11	2	3	1	1	5	2	1	0	2	1	0	1	1	1	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
0.03	south35_active	80	9177	6034	3524	1053	1834	473	486	244	146	171	108	143	131	106	35	78	31	20	13	31	24	9	9	8	9	6	11	1	8	5	0	1	0	1	3	1	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
0.03	south36_all	80	15457	9680	5651	1880	2796	895	870	475	326	302	231	274	223	175	72	146	67	58	36	61	42	18	11	16	16	7	18	2	12	10	1	2	1	2	4	2	1	0	3	1	0	1	1	1	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
0.03	south36_active	80	9122	6144	3553	1016	1803	463	490	229	152	181	118	153	139	110	31	88	34	26	15	33	22	3	6	6	8	6	13	1	7	4	0	0	0	1	3	1	1	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
0.03	south37_all	80	14691	9252	5341	1861	2669	866	856	449	332	291	223	279	236	165	97	131	63	60	35	60	42	15	13	9	15	9	17	4	9	11	2	2	1	4	4	3	0	0	3	0	0	1	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
0.03	south37_active	80	8525	5889	3330	987	1759	448	513	197	148	167	103	159	148	105	43	72	33	27	15	31	21	4	6	3	6	5	14	2	6	5	1	0	0	1	3	2	0	0	2	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
0.03	south38_all	80	13901	8450	4973	1817	2471	830	806	465	342	282	232	260	214	160	100	135	63	56	30	55	27	15	17	15	17	13	17	8	7	7	3	3	2	3	2	4	1	0	1	0	0	1	0	1	0	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south38_active	80	7905	5333	3012	980	1604	414	489	187	159	156	112	149	130	94	46	77	30	27	14	32	10	4	9	8	7	6	11	2	4	3	2	0	1	0	2	2	0	0	1	0	0	1	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south39_all	80	13050	7714	4530	1797	2218	785	783	473	327	278	238	265	191	155	105	128	55	50	32	44	16	16	19	15	16	13	17	7	8	4	6	4	2	3	1	3	1	0	0	2	0	1	0	1	0	3	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0
0.03	south39_active	80	7370	4729	2704	938	1414	366	435	200	156	144	112	162	109	95	47	74	29	26	18	27	7	8	10	9	11	5	10	1	6	2	3	0	2	1	1	2	0	0	0	1	0	1	0	1	0	3	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
0.03	south40_all	80	12693	7410	4281	1735	2124	786	788	489	346	257	228	251	180	160	92	115	50	54	34	48	19	19	21	16	15	10	16	8	7	4	6	5	3	4	2	4	1	0	1	2	1	0	0	1	0	3	0	0	0	0	0	1	0	1	0	0	0	0	1	0	0	0
0.03	south40_active	80	7060	4517	2605	894	1332	372	434	214	158	126	116	147	102	90	45	65	29	27	18	28	6	10	10	12	10	6	6	2	4	2	2	0	2	2	1	3	0	0	0	1	0	0	0	1	0	3	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0
