label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47	Otu48	Otu49	Otu50	Otu51	Otu52	Otu53	Otu54	Otu55	Otu56	Otu57	Otu58	Otu59	Otu60	Otu61	Otu62	Otu63	Otu64	Otu65	Otu66	Otu67	Otu68	Otu69	Otu70	Otu71	Otu72	Otu73	Otu74	Otu75	Otu76	Otu77	Otu78	Otu79	Otu80	Otu81	Otu82	Otu83	Otu84	Otu85	Otu86	Otu87	Otu88	Otu89	Otu90	Otu91	Otu92	Otu93	Otu94	Otu95	Otu96	Otu97	Otu98	Otu99	Otu100	Otu101	Otu102	Otu103	Otu104	Otu105	Otu106	Otu107
0.03	north18_all	80	4621	8453	6155	931	853	548	955	432	320	237	335	188	165	151	136	117	108	94	76	78	63	95	46	37	118	23	63	27	67	33	26	22	24	11	12	8	18	16	31	10	13	13	6	7	3	3	11	4	2	23	3	4	4	1	3	15	8	11	0	2	11	1	2	4	0	1	0	1	0	1	2	1	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north18_active	80	1122	7790	5678	354	411	190	783	225	140	52	238	59	46	64	74	28	38	51	24	53	21	77	21	13	96	6	54	12	59	21	4	13	11	6	3	3	13	15	30	3	6	4	3	5	2	1	10	4	2	21	2	1	0	0	2	15	8	11	0	0	11	0	2	2	0	1	0	0	0	1	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north19_all	80	4662	8264	6062	948	833	556	905	433	319	236	346	194	165	145	133	96	111	92	75	87	59	95	48	48	113	26	70	21	61	30	26	21	21	10	16	9	15	18	18	7	9	10	7	11	4	2	5	7	3	14	3	3	3	1	3	12	4	6	2	1	12	1	2	1	0	0	0	1	0	0	1	1	1	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north19_active	80	1157	7597	5573	358	402	199	716	213	150	55	246	61	51	57	64	27	37	50	25	61	16	74	23	18	93	7	62	6	51	19	2	15	11	5	6	5	13	15	16	2	6	5	2	9	1	1	5	7	1	13	2	0	0	0	0	12	2	6	1	0	11	0	2	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north20_all	80	4609	8303	6008	948	813	544	839	426	320	242	290	187	157	149	131	112	112	94	74	96	57	96	38	47	85	32	64	24	56	32	21	25	18	9	16	11	29	22	19	5	5	7	5	11	4	1	7	12	4	2	1	4	4	1	2	15	4	5	2	0	6	2	3	2	0	0	1	1	1	0	0	1	1	1	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0
0.03	north20_active	80	1155	7647	5565	361	402	212	651	191	151	61	206	63	45	52	60	35	38	50	23	68	13	78	20	18	68	7	54	11	46	20	3	17	9	4	5	6	24	17	17	2	3	4	1	10	1	1	6	11	1	2	1	0	0	0	0	15	1	5	1	0	5	1	3	0	0	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south21_all	80	5813	2223	1417	2599	2037	864	536	361	282	283	183	266	152	180	273	134	112	76	75	120	73	83	44	57	67	79	27	74	24	20	17	27	32	25	8	13	12	8	11	30	8	8	4	10	6	10	16	4	8	3	9	4	1	3	9	3	1	1	2	2	2	4	1	1	0	1	3	1	2	7	0	0	1	0	1	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
0.03	south21_active	80	3442	494	597	2262	1797	638	259	108	84	156	77	181	43	103	235	70	70	34	23	99	41	50	9	31	51	67	13	60	9	5	5	21	18	14	1	7	6	2	6	26	6	1	1	3	2	5	15	1	3	3	8	2	1	1	9	2	1	0	0	1	0	3	1	0	0	0	3	1	2	7	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south22_all	80	5782	2206	1441	2572	2008	823	517	343	292	303	187	262	150	169	286	132	121	88	79	132	75	70	45	45	65	71	33	72	23	22	21	29	32	24	10	16	10	10	15	38	8	7	7	9	5	13	17	5	6	3	15	5	3	2	8	7	5	2	2	2	3	1	1	1	0	1	3	1	2	6	0	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
0.03	south22_active	80	3415	501	606	2225	1763	599	244	95	84	165	86	188	45	102	243	70	74	43	24	108	47	44	9	22	54	56	13	64	4	7	4	21	19	12	4	10	7	5	9	33	7	1	3	2	1	7	15	1	2	2	13	2	2	2	7	6	4	0	0	1	0	1	1	0	0	0	3	1	2	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
