label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47	Otu48	Otu49	Otu50	Otu51	Otu52	Otu53	Otu54	Otu55	Otu56	Otu57	Otu58	Otu59	Otu60	Otu61	Otu62	Otu63	Otu64	Otu65	Otu66	Otu67	Otu68	Otu69	Otu70	Otu71	Otu72	Otu73	Otu74	Otu75	Otu76	Otu77	Otu78	Otu79	Otu80	Otu81	Otu82	Otu83	Otu84	Otu85	Otu86	Otu87	Otu88	Otu89	Otu90	Otu91	Otu92	Otu93	Otu94	Otu95	Otu96	Otu97	Otu98	Otu99	Otu100	Otu101	Otu102	Otu103	Otu104	Otu105	Otu106	Otu107	Otu108	Otu109	Otu110	Otu111	Otu112	Otu113	Otu114	Otu115	Otu116	Otu117	Otu118	Otu119	Otu120	Otu121	Otu122	Otu123	Otu124	Otu125
0.03	south22_all	80	5649	5829	1841	1106	850	1364	560	550	383	308	275	416	214	181	180	259	119	178	111	216	85	253	113	186	93	57	57	45	33	52	37	33	75	43	52	28	39	26	16	14	22	16	12	21	14	15	8	12	16	4	2	6	5	14	1	7	13	5	4	3	2	3	1	1	2	2	2	16	3	0	0	3	4	5	3	2	1	0	2	1	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0
0.03	south22_active	80	2285	4867	1065	257	233	1080	134	312	116	68	96	329	76	43	77	210	49	130	30	176	42	229	81	160	54	13	41	18	22	44	17	17	64	32	41	9	26	14	5	1	16	13	8	12	4	11	2	9	14	3	1	3	1	11	0	1	10	3	2	1	1	3	0	1	1	2	1	16	3	0	0	3	4	5	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south23_all	80	5631	5303	1798	1146	835	1209	573	544	375	321	261	388	225	184	193	237	117	189	100	189	80	248	97	159	88	43	57	46	38	65	40	43	60	35	35	26	25	16	14	17	19	23	12	19	12	12	11	8	17	8	2	5	4	11	4	6	6	4	5	3	2	2	2	1	1	2	2	16	3	1	0	2	5	0	5	2	0	1	3	2	1	0	0	0	0	0	0	0	0	0	2	0	0	0	2	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
0.03	south23_active	80	2210	4292	973	270	216	927	146	287	111	81	82	293	69	47	76	186	48	143	29	144	37	222	61	134	53	8	43	18	19	57	18	21	51	22	24	8	14	9	5	2	14	17	6	8	4	9	3	5	15	2	0	2	2	8	0	0	3	2	2	1	0	1	1	1	1	2	1	15	3	0	0	2	5	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south24_all	80	5530	5154	1779	1086	821	1182	559	514	375	321	253	380	230	190	179	260	107	161	102	172	97	199	97	142	82	37	71	41	40	62	37	37	59	29	39	21	33	10	17	16	9	25	11	9	10	12	13	9	18	7	4	4	4	14	6	3	6	3	4	1	2	2	2	1	2	0	0	10	5	1	0	1	5	1	3	0	0	1	2	2	1	0	0	0	0	0	0	0	0	0	2	0	0	0	2	0	0	1	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south24_active	80	2166	4114	935	258	207	911	139	255	106	93	84	271	72	46	70	205	42	111	27	125	37	170	62	121	48	9	53	18	22	49	13	17	50	18	30	6	21	5	9	3	5	17	3	3	2	8	5	6	15	1	0	0	2	8	0	0	4	1	2	0	0	0	1	1	2	0	0	8	5	0	0	1	5	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south25_all	80	5539	5656	1878	1116	844	1263	529	499	400	355	259	421	216	197	169	294	108	171	103	210	96	248	100	155	74	38	79	46	43	68	33	33	92	29	66	20	35	13	17	19	15	24	14	11	7	11	15	9	20	6	5	4	4	11	6	3	11	2	6	1	3	3	1	0	3	1	2	10	7	2	1	2	1	1	3	0	0	4	2	1	1	0	1	0	0	1	1	1	0	0	1	0	0	0	2	0	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south25_active	80	2281	4640	1042	261	230	997	132	244	118	102	93	304	72	51	65	238	37	110	24	171	36	213	71	134	46	12	65	22	22	55	17	16	83	18	57	10	23	8	8	6	11	17	4	3	2	6	9	7	18	0	0	1	1	7	0	1	10	1	3	0	0	0	1	0	3	1	2	8	6	1	1	2	1	1	0	0	0	3	1	1	0	0	0	0	0	1	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south26_all	80	5562	5970	1926	1063	839	1339	546	501	387	340	280	441	241	192	157	313	110	188	108	233	102	250	129	145	63	30	83	50	54	54	43	24	103	25	66	19	30	20	14	19	26	21	12	13	4	7	11	12	16	8	6	5	3	8	4	5	15	4	5	1	2	5	0	0	3	2	3	7	9	1	1	1	2	2	3	0	0	3	4	2	1	1	1	0	0	1	1	1	1	0	0	0	0	0	2	0	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south26_active	80	2343	4999	1120	269	244	1078	127	251	121	93	101	330	91	51	70	264	35	119	25	198	39	218	99	123	39	10	68	23	36	41	26	14	91	16	56	10	21	10	6	6	19	15	2	6	2	4	8	9	15	0	1	2	1	5	0	3	15	4	2	0	0	0	0	0	3	2	3	6	8	1	1	1	2	2	0	0	0	3	2	1	0	1	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
