label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47	Otu48	Otu49	Otu50	Otu51	Otu52	Otu53	Otu54	Otu55	Otu56	Otu57	Otu58	Otu59	Otu60	Otu61	Otu62	Otu63	Otu64	Otu65	Otu66	Otu67	Otu68	Otu69	Otu70	Otu71	Otu72	Otu73	Otu74	Otu75	Otu76	Otu77	Otu78	Otu79
0.03	south26_all	80	10086	9157	2612	3122	2468	1090	750	571	827	358	665	404	211	192	211	138	110	87	199	113	98	53	115	33	48	38	41	61	26	19	12	21	10	7	15	11	30	10	16	5	6	9	5	2	1	4	3	0	2	3	0	0	0	1	0	0	4	1	0	1	1	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0
0.03	south26_active	80	3874	7565	682	2370	1945	538	289	141	600	96	553	293	60	66	142	63	23	26	176	75	73	22	99	15	33	31	28	55	9	8	7	16	5	2	13	8	29	9	15	1	0	8	4	0	1	1	1	0	2	2	0	0	0	1	0	0	4	1	0	1	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
0.03	south27_all	80	10074	9205	2590	3100	2525	1089	778	590	795	354	624	400	212	171	218	149	105	97	214	121	107	51	117	35	44	45	39	61	28	19	11	24	10	4	21	12	15	20	23	6	5	7	8	6	2	2	3	0	1	3	0	0	0	2	0	2	6	3	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south27_active	80	3852	7561	681	2337	1984	539	307	140	572	96	517	293	62	58	148	65	19	32	187	85	70	26	98	16	33	32	24	54	11	8	7	17	6	2	17	8	14	16	20	1	0	7	7	4	1	1	1	0	1	2	0	0	0	1	0	1	6	1	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south28_all	80	10153	9364	2575	3113	2630	1050	784	592	814	382	577	400	221	162	202	155	92	94	214	114	112	51	142	44	52	56	39	77	27	19	9	26	7	5	18	14	12	20	12	5	6	5	10	6	2	2	4	1	1	2	0	0	0	4	1	2	7	2	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south28_active	80	3839	7717	685	2346	2068	522	320	137	616	95	482	290	65	57	138	79	19	30	186	82	76	26	124	19	38	35	24	72	10	7	5	20	6	2	15	9	11	16	8	1	0	5	9	4	1	1	1	0	1	2	0	0	0	3	1	1	7	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south29_all	80	10149	9238	2687	3049	2640	1115	777	596	857	399	622	392	207	168	216	152	88	97	183	118	90	54	118	52	45	62	44	75	22	19	16	25	7	7	19	7	7	21	17	6	7	4	9	6	2	1	4	4	1	2	0	0	1	4	1	3	4	2	1	0	2	3	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south29_active	80	3824	7603	742	2277	2068	569	311	144	663	99	509	289	62	67	147	78	16	25	154	95	57	26	99	22	31	39	27	69	9	7	7	20	4	2	17	4	6	17	11	2	0	3	9	6	1	0	0	3	0	2	0	0	0	3	1	1	4	0	0	0	2	3	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south30_all	80	10079	9082	2721	3100	2675	1119	776	596	829	405	642	381	202	187	200	157	113	100	161	97	74	58	134	47	57	74	44	76	20	22	16	21	13	13	18	10	7	23	12	4	9	6	9	6	4	1	3	5	1	3	0	0	1	4	1	1	1	0	1	0	2	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south30_active	80	3779	7485	766	2310	2099	562	310	142	636	105	525	271	55	68	130	80	23	30	137	76	50	23	118	19	44	52	30	70	6	10	6	17	6	1	15	5	5	20	8	1	2	5	9	6	3	0	0	3	0	3	0	0	0	3	1	0	1	0	0	0	2	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
