label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47	Otu48	Otu49	Otu50	Otu51	Otu52	Otu53	Otu54	Otu55	Otu56	Otu57	Otu58	Otu59	Otu60	Otu61	Otu62	Otu63	Otu64	Otu65	Otu66	Otu67	Otu68	Otu69	Otu70	Otu71	Otu72	Otu73	Otu74	Otu75	Otu76	Otu77	Otu78	Otu79	Otu80	Otu81	Otu82	Otu83	Otu84	Otu85
0.03	south28_all	80	55468	11669	12141	7792	3767	3651	2437	2749	1881	1751	743	1282	610	485	359	367	398	421	200	170	179	180	160	205	76	94	70	61	45	36	26	38	33	21	18	15	40	9	16	26	10	3	5	4	18	1	2	0	2	2	4	2	3	1	0	0	0	2	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south28_active	80	34686	5427	7223	4590	1901	2080	1334	1639	1114	1071	333	781	315	239	153	179	247	249	90	90	122	103	96	130	34	53	35	35	22	13	15	16	11	13	9	8	21	6	8	22	6	1	4	1	15	0	0	0	2	2	2	0	2	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south29_all	80	56038	11863	12146	7828	3873	3664	2489	2733	1897	1812	725	1348	594	523	342	363	403	374	185	160	167	191	158	199	79	96	63	56	41	30	22	38	45	25	19	14	23	9	12	18	7	3	7	7	17	1	2	1	1	5	4	2	5	2	3	0	0	2	0	0	0	1	3	3	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south29_active	80	35172	5522	7226	4569	1964	2103	1363	1647	1115	1067	324	841	293	265	141	173	253	222	87	79	108	106	88	127	30	59	33	28	17	13	12	14	20	17	15	7	8	7	5	13	2	2	4	4	14	1	0	1	1	3	1	0	2	1	0	0	0	0	0	0	0	1	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south30_all	80	56012	11811	11922	7834	3907	3659	2511	2696	1806	1745	742	1316	599	528	366	363	400	410	186	154	153	192	175	187	78	119	60	49	34	31	20	38	43	27	17	10	25	12	9	15	9	6	7	8	6	2	2	3	1	3	5	2	4	2	4	0	0	2	0	0	0	0	3	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south30_active	80	35009	5572	7121	4665	1964	2039	1367	1674	1087	1016	346	816	294	256	166	176	243	270	99	81	92	111	101	115	30	72	29	23	14	12	11	14	23	21	14	4	8	11	4	11	4	2	3	4	3	1	0	3	1	1	1	0	1	1	1	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south31_all	80	56577	11873	11438	7401	3792	3572	2510	2678	1938	1830	730	1297	609	542	323	333	500	538	218	161	163	144	179	192	68	97	59	56	40	39	32	26	30	16	12	18	21	15	11	16	8	5	15	2	5	9	1	3	4	4	2	1	2	2	3	1	0	1	0	2	0	0	0	1	0	0	0	1	2	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0	0	0
0.03	south31_active	80	35258	5593	6760	4318	1859	1966	1361	1663	1099	1123	325	868	289	292	150	179	312	328	120	74	91	72	95	137	29	53	30	32	20	19	21	15	18	10	7	8	13	6	5	10	3	1	14	1	2	2	1	1	2	3	0	0	1	1	2	1	0	1	0	2	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0	0	0
0.03	south32_all	80	56510	11866	11406	7471	3822	3566	2535	2686	1881	1866	734	1240	612	530	365	327	494	518	213	174	151	141	166	211	63	97	70	57	44	30	25	23	26	20	15	11	23	18	10	21	16	10	13	2	4	8	1	1	8	4	1	1	1	2	2	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0
0.03	south32_active	80	35022	5630	6654	4430	1900	1984	1340	1660	1108	1166	322	795	303	302	166	170	300	304	113	73	84	74	84	154	25	44	37	29	21	17	17	11	13	9	9	5	15	9	3	11	10	2	12	1	2	2	1	0	6	2	0	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0
