label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47	Otu48	Otu49	Otu50	Otu51	Otu52	Otu53	Otu54	Otu55	Otu56	Otu57	Otu58	Otu59	Otu60	Otu61	Otu62	Otu63	Otu64	Otu65	Otu66	Otu67	Otu68	Otu69	Otu70	Otu71	Otu72	Otu73	Otu74	Otu75	Otu76	Otu77	Otu78	Otu79	Otu80	Otu81	Otu82	Otu83	Otu84	Otu85	Otu86	Otu87	Otu88	Otu89	Otu90	Otu91	Otu92	Otu93	Otu94	Otu95	Otu96	Otu97	Otu98	Otu99	Otu100	Otu101	Otu102	Otu103	Otu104	Otu105	Otu106	Otu107	Otu108
0.03	north16_all	80	1536	813	503	288	632	158	174	144	123	170	79	114	61	112	54	56	34	39	73	34	30	13	16	26	47	10	23	7	15	8	19	4	5	19	5	3	11	3	7	10	7	14	6	3	2	2	4	2	1	4	2	0	2	3	4	5	0	2	19	0	0	3	0	1	1	1	0	1	2	0	2	0	0	0	1	4	0	4	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	1	0	0	2	0	0	0
0.03	north16_active	80	778	464	272	147	409	58	83	81	52	102	34	65	33	62	30	33	16	22	38	20	21	5	9	13	25	3	16	4	6	2	8	1	3	11	2	1	10	2	5	8	1	13	2	1	2	2	2	1	0	1	1	0	1	1	4	4	0	1	18	0	0	2	0	1	1	1	0	1	2	0	1	0	0	0	1	4	0	4	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	2	0	0	0
0.03	north17_all	80	1608	837	498	278	665	163	190	151	117	175	91	94	53	108	60	56	32	46	67	38	30	16	19	31	41	9	28	8	11	10	14	6	5	27	5	4	6	4	5	11	6	7	5	2	2	3	3	3	2	5	2	1	2	3	6	7	1	1	5	1	0	3	0	1	1	0	0	1	2	0	1	0	2	0	1	0	2	0	0	0	0	0	0	3	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0
0.03	north17_active	80	818	459	274	138	418	62	96	83	46	104	46	54	27	52	32	31	14	27	31	26	22	6	10	17	21	3	19	3	5	1	6	3	3	22	2	1	5	3	3	5	1	4	2	0	2	2	2	2	0	1	1	1	1	1	4	4	1	0	4	1	0	2	0	1	1	0	0	1	2	0	0	0	2	0	1	0	2	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0
0.03	north18_all	80	1663	891	532	285	693	158	180	157	117	177	88	103	59	120	73	47	35	43	65	40	27	22	19	34	46	7	22	8	9	12	12	8	7	35	7	5	2	6	8	10	8	13	5	3	3	4	4	3	3	4	2	1	2	2	8	13	2	1	7	1	0	2	5	1	0	0	0	1	2	1	1	0	2	0	0	0	2	0	0	1	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	1	0	0	2	0	0	0
0.03	north18_active	80	873	486	304	139	431	73	92	90	55	104	54	52	26	62	40	23	15	21	32	25	19	4	10	21	25	2	15	3	5	5	5	4	4	28	3	2	1	4	5	4	4	9	2	0	3	2	2	2	0	1	1	1	1	0	6	10	2	0	4	1	0	1	5	1	0	0	0	1	2	1	0	0	2	0	0	0	2	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0
0.03	north19_all	80	1665	875	533	262	681	170	174	152	136	162	110	102	56	143	80	43	28	43	60	41	22	30	24	36	52	10	18	12	5	11	11	11	6	41	5	3	4	8	8	5	6	14	4	3	3	5	2	3	2	5	0	1	2	2	15	8	2	1	7	1	0	1	5	0	0	0	1	2	0	1	1	0	2	0	0	0	2	0	0	1	0	0	0	3	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	1	0	0	0	0	0	0
0.03	north19_active	80	895	482	297	120	447	79	95	83	74	83	68	52	28	92	43	21	12	22	34	21	13	9	14	23	28	5	11	4	4	4	6	6	4	30	1	2	1	5	5	1	4	11	1	0	3	3	0	1	0	2	0	1	2	0	13	6	2	0	4	1	0	0	5	0	0	0	1	2	0	1	0	0	2	0	0	0	2	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
0.03	north20_all	80	1681	875	557	266	680	179	154	157	131	164	90	94	54	146	69	42	27	41	55	42	18	28	30	38	53	12	11	8	8	11	13	14	6	33	7	5	3	12	8	6	8	13	3	3	1	5	7	5	2	6	1	0	2	0	9	10	2	2	9	0	0	5	5	0	0	0	1	1	0	1	1	0	0	0	0	0	1	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0
0.03	north20_active	80	890	501	311	117	464	87	80	86	76	94	49	40	28	100	37	17	12	17	34	21	7	9	18	25	26	6	4	2	4	7	8	7	2	24	3	3	0	5	6	5	6	10	1	0	1	3	5	2	1	2	0	0	2	0	9	8	2	0	6	0	0	4	5	0	0	0	1	1	0	1	1	0	0	0	0	0	1	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
