label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47	Otu48	Otu49	Otu50	Otu51	Otu52	Otu53	Otu54	Otu55	Otu56	Otu57	Otu58	Otu59	Otu60	Otu61	Otu62	Otu63	Otu64	Otu65	Otu66	Otu67	Otu68	Otu69	Otu70	Otu71	Otu72
0.03	south35_active	80	16828	12231	6250	5337	4523	2594	2391	835	1498	464	756	559	586	275	167	300	118	78	118	54	107	44	52	41	34	62	44	12	49	6	8	9	22	5	4	2	2	4	8	5	1	3	0	0	0	0	3	0	1	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0
0.03	south36_all	80	34729	21560	11493	9143	7398	4499	4059	1707	2569	1029	1284	939	983	528	348	479	256	149	222	100	136	97	76	62	47	104	59	17	53	20	26	13	28	11	11	5	5	7	9	8	6	2	3	2	0	1	2	6	0	1	2	2	0	1	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	2	0	0
0.03	south36_active	80	17065	12480	6489	5402	4607	2638	2546	848	1584	500	765	548	617	289	181	293	122	67	125	45	88	48	43	43	28	73	41	7	38	4	8	4	22	7	5	2	3	4	7	7	3	2	0	0	0	1	2	2	0	0	0	2	0	1	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	2	0	0
0.03	south37_all	80	35316	21898	11759	9481	7597	4530	4058	1756	2644	1030	1305	941	996	559	356	494	280	151	260	103	140	103	81	74	45	102	52	18	51	26	24	13	25	13	10	4	6	16	6	5	5	1	3	3	0	1	2	5	0	1	2	1	0	1	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south37_active	80	17541	12732	6599	5616	4774	2713	2589	888	1632	510	766	548	660	311	190	310	136	76	140	43	87	47	43	46	24	70	34	7	37	7	8	4	21	8	4	2	4	5	4	5	3	1	0	1	0	1	2	2	0	0	1	0	0	1	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south38_all	80	35303	21694	11614	9352	7524	4448	4151	1696	2584	1003	1335	991	1055	550	356	469	303	144	290	109	161	99	88	61	52	103	38	22	45	23	32	11	10	11	10	8	5	11	7	5	4	1	3	5	0	2	6	3	1	1	2	1	0	1	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south38_active	80	17542	12600	6512	5554	4709	2681	2665	834	1589	515	801	572	684	299	193	295	141	64	179	38	83	43	45	36	30	71	19	4	33	7	18	2	8	7	5	2	3	2	4	5	3	1	0	2	0	1	5	2	1	0	1	0	0	1	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south39_all	80	35246	21825	11569	9230	7465	4540	4045	1711	2621	992	1358	992	1086	491	357	489	301	158	291	115	164	88	77	61	59	62	50	27	43	19	26	19	16	8	14	9	2	13	7	3	6	0	3	4	0	2	6	2	1	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south39_active	80	17511	12684	6412	5504	4622	2748	2559	867	1647	498	837	566	721	260	172	323	145	68	171	44	88	43	42	32	31	31	27	6	27	8	16	12	9	6	7	3	1	4	4	3	4	0	1	2	0	1	5	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south40_all	80	35449	21769	11500	9061	7512	4721	4036	1675	2579	978	1352	1035	1056	498	348	474	295	162	245	115	180	77	89	59	56	72	44	29	38	14	24	17	15	11	14	10	5	14	7	3	6	2	2	4	0	1	6	4	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south40_active	80	17604	12664	6489	5405	4614	2834	2498	849	1642	506	866	640	681	251	164	308	155	66	160	50	92	37	55	30	28	44	23	8	24	8	14	12	9	7	9	3	2	3	3	3	3	1	2	2	0	0	5	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
