label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47	Otu48	Otu49	Otu50	Otu51	Otu52	Otu53	Otu54	Otu55	Otu56	Otu57	Otu58	Otu59	Otu60	Otu61	Otu62	Otu63	Otu64	Otu65	Otu66	Otu67	Otu68	Otu69	Otu70	Otu71	Otu72	Otu73	Otu74	Otu75	Otu76	Otu77	Otu78	Otu79	Otu80	Otu81	Otu82	Otu83	Otu84	Otu85	Otu86	Otu87	Otu88	Otu89	Otu90	Otu91	Otu92	Otu93	Otu94	Otu95	Otu96	Otu97	Otu98	Otu99	Otu100	Otu101	Otu102	Otu103	Otu104
0.03	south28_active	80	1177	483	284	182	90	252	137	52	48	51	38	29	72	35	73	39	18	17	11	12	14	14	27	16	18	12	11	14	1	6	1	7	1	4	9	7	4	3	3	5	1	1	1	1	2	6	0	1	2	2	3	0	3	1	0	0	0	0	1	1	0	1	0	0	0	1	0	0	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	1	0	0	0	0	0	0	0
0.03	south29_all	80	2153	871	558	364	206	394	237	122	96	74	69	47	117	69	123	59	31	40	28	24	30	19	39	33	29	23	29	21	8	12	5	9	5	7	12	11	7	8	11	5	2	3	2	2	1	5	0	4	4	4	3	2	5	1	0	0	0	0	1	1	0	1	0	1	0	1	3	0	0	0	0	0	1	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	1	0	0	0	0	0	1	0
0.03	south29_active	80	1186	494	307	192	98	250	142	54	45	38	31	25	59	39	72	37	19	25	11	13	15	11	26	22	15	12	16	14	3	5	2	7	2	5	8	3	4	5	6	2	1	1	0	2	0	4	0	1	2	1	3	0	3	1	0	0	0	0	1	1	0	1	0	0	0	1	2	0	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	1	0	0	0	0	0	1	0
0.03	south30_all	80	2186	933	631	368	225	395	269	115	101	91	61	58	138	75	131	48	31	43	24	29	28	16	36	27	26	22	44	18	10	10	2	11	5	5	11	10	7	6	9	4	1	3	2	2	1	5	0	4	2	5	0	3	4	1	0	1	0	0	1	1	0	1	0	1	0	0	3	0	0	0	0	0	1	1	0	0	0	0	1	1	0	0	0	0	0	7	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	1	0
0.03	south30_active	80	1245	528	358	192	100	230	169	56	50	44	27	29	71	41	73	25	19	21	9	16	14	13	22	20	14	10	30	10	6	4	1	10	3	4	8	3	3	3	4	1	1	0	0	2	1	5	0	0	1	1	0	1	2	0	0	1	0	0	1	1	0	1	0	1	0	0	2	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	1	0
0.03	south31_all	80	2426	929	682	397	202	483	316	123	120	100	88	77	157	77	154	58	35	29	33	32	43	25	25	44	29	6	36	22	13	10	2	11	10	7	6	16	7	7	17	9	2	3	7	7	4	2	5	5	6	14	0	1	1	1	0	0	1	0	0	0	0	0	1	3	0	0	3	2	0	0	0	0	0	1	1	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0
0.03	south31_active	80	1406	534	362	193	88	330	192	55	54	53	47	30	100	30	116	43	16	14	19	16	24	11	14	32	19	3	20	14	5	4	1	6	4	4	3	12	5	2	10	9	1	1	4	2	2	1	2	2	5	13	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
0.03	south32_all	80	2375	922	685	404	189	505	304	115	105	103	91	75	157	78	159	60	28	29	32	34	47	23	38	33	31	7	32	23	9	9	6	17	11	6	10	21	7	7	14	9	4	5	6	5	2	4	4	9	6	6	1	1	3	2	0	0	1	0	0	1	1	0	1	3	0	0	2	2	0	0	0	1	0	2	1	1	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south32_active	80	1379	518	384	197	77	325	182	54	45	48	47	25	109	37	118	40	12	17	18	19	27	9	25	26	20	3	27	13	3	3	3	9	5	4	6	15	6	2	6	9	2	4	3	2	0	3	3	5	6	4	0	0	2	1	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	1	0	2	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south33_all	80	2371	952	692	387	211	501	310	114	104	100	85	80	173	80	140	60	33	32	26	30	42	26	40	38	35	3	33	23	9	13	8	15	13	8	6	17	8	5	12	6	3	7	4	5	1	5	3	8	4	5	1	3	2	2	0	1	1	0	1	1	2	1	0	1	0	0	2	2	1	0	0	1	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south33_active	80	1392	533	379	207	90	334	194	54	41	52	50	30	130	46	104	41	20	17	11	14	24	10	26	30	22	1	28	11	4	6	3	8	5	5	4	11	6	1	5	5	1	4	3	3	0	3	3	4	4	1	0	2	1	0	0	0	0	0	0	0	1	1	0	1	0	0	1	0	1	0	0	1	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south34_all	80	2363	927	700	379	217	517	301	104	86	99	84	72	195	71	115	62	34	39	26	24	42	28	39	37	32	6	31	21	10	9	12	16	10	6	8	15	11	6	11	5	5	7	3	7	2	7	3	5	3	8	2	3	3	2	1	3	1	0	2	1	2	1	0	0	0	0	0	0	1	0	0	1	0	1	1	1	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south34_active	80	1430	502	384	202	99	317	190	48	35	45	44	31	134	45	83	38	22	19	14	10	26	13	31	29	21	2	24	9	4	6	6	7	3	3	5	9	9	2	6	1	1	3	2	3	0	3	3	3	2	3	1	2	2	0	0	1	0	0	1	0	1	1	0	0	0	0	0	0	1	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south35_all	80	2336	916	702	385	210	496	313	100	76	95	64	78	198	83	112	67	38	38	27	25	42	35	41	26	42	12	36	14	11	14	11	7	12	7	10	15	9	5	10	4	3	9	3	5	3	6	1	1	2	7	4	4	1	3	2	4	0	0	3	0	3	1	0	0	3	0	0	0	1	0	2	0	0	1	1	0	3	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
0.03	south35_active	80	1418	487	401	196	107	307	200	43	31	41	34	41	125	51	74	45	21	19	13	14	25	20	23	18	34	6	28	5	4	9	7	2	5	4	8	11	7	2	8	0	0	5	2	2	0	2	1	1	1	4	2	2	1	0	1	2	0	0	2	0	1	1	0	0	3	0	0	0	1	0	2	0	0	1	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south36_all	80	2348	871	673	384	210	470	300	101	68	94	57	79	187	66	113	63	38	34	28	15	36	37	48	37	43	17	42	11	13	14	12	7	10	6	12	11	11	3	10	8	2	6	3	2	4	5	3	2	1	5	4	1	2	2	2	4	0	1	2	0	1	1	1	1	3	0	4	0	0	0	3	1	0	1	1	0	3	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
0.03	south36_active	80	1380	448	385	190	97	284	185	48	25	39	26	40	98	36	77	39	21	17	12	8	18	25	27	28	36	6	31	3	6	8	8	1	6	5	7	9	7	1	7	4	0	4	2	0	1	1	1	1	0	4	3	0	2	0	1	2	0	0	2	0	0	0	0	0	3	0	4	0	0	0	3	0	0	1	0	0	3	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south37_all	80	2225	902	654	366	216	452	284	97	78	81	47	77	158	70	109	65	40	36	27	16	46	31	39	34	44	23	30	11	9	13	7	7	11	2	12	11	13	2	13	6	4	5	2	2	6	1	4	2	1	3	3	1	1	3	2	1	1	1	2	0	1	1	1	1	3	1	4	0	0	0	3	1	0	1	0	0	3	0	0	0	0	1	0	1	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
0.03	south37_active	80	1256	478	357	179	102	270	168	51	34	35	21	37	94	41	68	38	17	16	10	8	26	21	16	23	37	11	24	5	4	7	5	2	6	2	7	9	7	0	8	4	3	4	2	0	2	1	1	1	0	3	2	0	1	1	1	1	1	0	2	0	0	0	0	0	3	1	4	0	0	0	3	0	0	1	0	0	3	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
