label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47	Otu48	Otu49	Otu50	Otu51	Otu52	Otu53	Otu54	Otu55	Otu56	Otu57	Otu58	Otu59	Otu60	Otu61	Otu62	Otu63	Otu64	Otu65	Otu66	Otu67	Otu68	Otu69	Otu70	Otu71	Otu72	Otu73	Otu74	Otu75	Otu76	Otu77	Otu78	Otu79	Otu80	Otu81	Otu82	Otu83	Otu84	Otu85	Otu86	Otu87	Otu88	Otu89	Otu90	Otu91	Otu92	Otu93	Otu94	Otu95	Otu96	Otu97	Otu98	Otu99	Otu100	Otu101	Otu102	Otu103	Otu104	Otu105	Otu106	Otu107	Otu108	Otu109	Otu110	Otu111	Otu112	Otu113	Otu114	Otu115	Otu116	Otu117	Otu118	Otu119	Otu120	Otu121	Otu122	Otu123	Otu124	Otu125	Otu126	Otu127	Otu128	Otu129	Otu130	Otu131
0.03	north19_active	80	3294	1989	592	1201	994	251	212	144	197	166	363	101	155	158	52	55	72	93	74	55	72	36	37	58	26	16	22	16	54	16	11	33	14	25	10	12	5	9	5	4	8	7	9	11	2	5	7	3	10	4	3	1	2	2	2	2	0	1	1	1	3	0	1	0	2	1	0	0	3	0	0	0	4	0	0	4	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3
0.03	north20_all	80	5906	3329	1301	1879	1507	561	431	358	351	314	537	204	299	292	113	123	104	144	154	90	99	63	78	81	49	35	42	34	82	29	28	48	22	26	23	30	13	16	14	9	14	12	10	15	9	8	9	7	16	4	9	5	7	3	1	4	1	4	2	18	2	1	1	3	2	3	0	2	5	1	0	2	4	0	1	0	0	1	0	0	1	1	0	1	2	1	1	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3
0.03	north20_active	80	3279	1963	585	1144	957	252	201	155	191	145	355	104	168	169	50	60	60	94	96	48	51	32	40	56	24	18	18	17	50	12	16	34	14	11	11	13	7	11	7	2	6	7	5	11	3	4	5	2	9	3	5	2	3	1	0	3	1	1	0	0	2	0	1	0	2	1	0	0	4	0	0	0	4	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3
0.03	south21_all	80	9707	1996	1258	1502	898	1077	551	516	337	261	426	393	313	139	162	100	120	193	90	81	106	87	93	86	99	71	44	70	43	30	34	44	28	21	15	25	14	14	19	15	21	15	7	36	22	9	17	6	10	6	8	13	2	2	5	7	4	3	5	0	1	6	2	2	1	0	2	4	0	1	2	1	1	3	2	1	1	4	1	0	0	1	1	0	0	1	2	0	0	1	1	0	0	1	0	0	1	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south21_active	80	6090	910	592	894	468	648	284	285	167	117	252	239	180	75	76	39	77	135	59	38	67	42	52	51	73	42	26	31	31	13	16	22	14	11	7	8	5	8	14	8	10	7	2	23	13	5	13	5	8	3	6	8	1	1	2	6	2	2	3	0	1	2	1	2	0	0	0	3	0	0	1	0	1	0	2	0	0	3	1	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south22_all	80	9614	2024	1208	1525	866	1080	535	546	342	267	450	428	298	138	148	103	123	222	90	75	99	91	93	80	97	61	46	75	45	28	36	45	24	21	13	25	10	15	15	11	21	13	6	40	22	11	7	8	5	7	4	10	6	2	3	7	5	3	4	1	2	5	3	2	2	0	2	2	3	2	2	1	1	2	0	1	1	3	2	0	0	2	0	0	2	1	1	0	0	1	0	0	0	1	1	0	1	0	0	1	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0
0.03	south22_active	80	6032	936	577	920	453	667	274	303	179	121	273	258	159	73	71	42	71	148	53	40	59	45	56	49	67	38	28	45	32	14	15	24	12	10	6	9	5	7	10	6	12	6	2	27	12	7	4	5	4	4	3	6	3	1	2	5	5	2	2	1	1	1	2	2	1	0	0	1	2	1	1	0	1	0	0	0	0	3	2	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
0.03	south23_all	80	9042	1948	1249	1473	883	972	559	514	349	270	468	406	275	151	161	110	114	217	91	81	104	93	81	69	102	58	42	77	44	27	34	41	29	21	16	21	11	20	13	8	20	20	6	32	26	8	8	9	3	6	1	7	7	4	4	5	8	4	3	3	4	4	5	0	2	1	1	2	4	3	1	0	1	1	1	0	0	1	2	0	0	1	0	0	2	1	0	0	1	1	0	0	0	0	1	0	1	0	0	1	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0
0.03	south23_active	80	5634	884	567	874	462	595	292	292	185	119	282	241	140	71	80	46	66	141	50	43	59	41	49	44	69	38	25	53	29	11	14	24	19	7	9	7	8	9	6	3	9	12	2	20	12	5	2	4	2	1	0	2	3	2	2	3	6	2	1	3	1	0	4	0	1	0	0	1	2	1	1	0	1	0	0	0	0	1	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
0.03	south24_all	80	8582	1912	1283	1394	851	975	549	495	320	280	415	405	284	145	167	123	121	195	91	86	107	76	89	65	106	59	48	73	36	31	32	41	32	18	20	28	15	15	17	4	23	20	5	32	17	12	8	7	6	6	1	6	6	4	5	5	8	5	3	3	6	4	3	0	4	2	2	1	4	3	0	0	2	0	1	0	0	1	3	0	0	1	2	0	2	0	0	0	1	1	1	0	0	1	1	0	1	1	0	2	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
