label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47	Otu48	Otu49	Otu50	Otu51	Otu52	Otu53	Otu54	Otu55	Otu56	Otu57
0.03	south35_all	80	59327	33270	9916	6471	7003	2811	1927	1545	1281	1574	786	416	374	599	341	353	171	148	95	79	119	50	43	53	42	17	31	11	7	7	7	6	6	2	6	2	2	0	1	2	2	2	0	0	14	2	0	0	0	0	1	0	0	0	0	0	0	0
0.03	south35_active	80	42886	27627	4184	3161	5498	989	588	517	743	1312	494	94	93	504	252	294	99	100	44	58	95	23	18	39	34	11	30	6	5	2	3	4	3	1	3	0	1	0	0	1	0	1	0	0	14	2	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south36_all	80	58978	33242	9760	6489	7078	2798	1909	1574	1210	1475	771	413	373	564	304	371	168	157	83	74	117	53	44	47	42	17	38	17	11	7	4	7	9	2	6	1	0	0	0	2	2	1	0	0	0	3	0	0	0	0	0	0	0	1	0	0	0	0
0.03	south36_active	80	42658	27598	4133	3210	5614	995	580	516	708	1219	476	95	106	484	217	307	91	114	48	54	87	25	24	34	33	11	36	7	9	2	1	7	7	1	3	0	0	0	0	1	0	1	0	0	0	3	0	0	0	0	0	0	0	1	0	0	0	0
0.03	south37_all	80	58839	33667	9717	6494	6942	2836	1893	1474	1222	1554	712	442	386	596	330	417	154	140	85	89	111	53	44	40	35	19	29	20	15	6	7	6	8	2	2	2	5	0	0	1	2	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0
0.03	south37_active	80	42636	28044	4105	3186	5515	1051	570	473	684	1294	415	100	104	509	242	354	92	105	53	62	86	22	22	31	26	14	26	6	10	1	3	6	6	1	1	2	4	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0
0.03	south38_all	80	58782	33866	9639	6442	6941	2879	1885	1507	1263	1494	707	470	387	586	320	425	173	145	104	108	101	58	40	37	48	20	29	27	16	7	7	9	8	3	1	4	5	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0
0.03	south38_active	80	42486	28290	4041	3159	5565	1066	599	502	690	1231	423	119	102	496	241	364	109	108	68	75	75	22	21	27	42	14	23	13	10	3	2	9	6	3	0	4	4	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0
0.03	south39_all	80	58709	33843	9664	6462	6711	2903	1907	1498	1288	1498	698	486	376	623	372	411	161	145	106	104	91	53	41	40	60	20	28	20	13	5	8	7	1	4	2	5	5	0	1	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0
0.03	south39_active	80	42491	28280	4077	3198	5342	1086	606	515	724	1247	428	119	95	522	274	352	102	104	67	65	66	20	20	30	51	13	22	9	6	2	4	6	0	3	0	5	4	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south40_all	80	58852	33764	9614	6369	6638	2888	1916	1490	1288	1607	761	483	363	582	397	435	172	123	115	96	94	63	47	66	44	23	24	19	13	5	6	6	2	5	2	6	8	0	1	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
0.03	south40_active	80	42668	28154	4153	3139	5259	1063	578	511	725	1358	479	113	88	476	291	378	119	86	81	61	68	28	25	56	38	15	19	15	5	3	2	4	1	3	1	6	7	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
