label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47	Otu48	Otu49	Otu50	Otu51	Otu52	Otu53	Otu54	Otu55	Otu56	Otu57	Otu58	Otu59	Otu60	Otu61	Otu62	Otu63	Otu64	Otu65	Otu66	Otu67	Otu68	Otu69	Otu70	Otu71	Otu72	Otu73	Otu74	Otu75	Otu76	Otu77	Otu78	Otu79	Otu80	Otu81	Otu82	Otu83	Otu84	Otu85	Otu86	Otu87	Otu88	Otu89	Otu90	Otu91	Otu92	Otu93	Otu94	Otu95	Otu96	Otu97	Otu98	Otu99	Otu100	Otu101	Otu102	Otu103	Otu104	Otu105	Otu106	Otu107	Otu108	Otu109	Otu110	Otu111	Otu112	Otu113	Otu114	Otu115	Otu116	Otu117	Otu118	Otu119	Otu120	Otu121	Otu122	Otu123	Otu124	Otu125	Otu126	Otu127
0.03	south22_active	80	10906	5519	2353	379	332	221	1710	139	153	1224	102	105	528	96	605	132	91	247	42	36	30	48	85	82	56	54	28	17	85	14	9	79	63	8	6	5	11	16	7	21	24	10	43	16	4	7	8	22	4	20	5	1	14	12	11	1	0	1	0	0	5	1	2	1	1	8	0	1	0	1	0	5	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
0.03	south23_all	80	13540	6679	3265	1488	1065	853	2020	549	464	1306	307	319	628	233	717	217	170	315	121	103	98	105	115	106	83	75	59	57	93	43	31	98	69	32	27	12	24	26	17	30	30	6	33	10	8	7	14	23	9	26	7	5	15	12	11	2	3	6	1	2	8	1	3	4	5	10	0	3	0	0	2	7	3	3	1	2	0	0	1	1	0	0	1	0	0	2	0	0	1	2	0	1	1	2	1	1	0	0	1	0	0	0	0	2	1	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0	1	0	0	0
0.03	south23_active	80	10896	5475	2394	403	338	184	1809	138	152	1172	77	121	538	103	651	141	89	255	49	38	29	50	82	80	48	57	33	16	83	16	8	88	63	10	9	4	15	20	7	23	26	2	28	7	2	5	9	21	3	23	5	1	13	11	10	1	1	2	0	0	3	1	2	3	2	10	0	2	0	0	2	7	3	2	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	2	0	1	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
0.03	south24_all	80	13704	6662	3217	1441	1051	863	1976	552	463	1315	320	311	578	228	645	207	172	307	116	110	84	99	119	100	82	77	67	59	90	49	31	96	82	31	29	18	27	21	16	47	29	11	43	14	9	12	14	20	10	38	6	3	14	15	13	2	4	4	2	2	6	1	2	3	4	17	6	3	0	2	3	4	3	8	1	2	0	0	3	2	0	0	1	0	0	1	1	0	1	2	0	1	1	2	1	1	0	0	1	0	0	0	0	2	0	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0
0.03	south24_active	80	10937	5441	2355	395	335	176	1754	129	155	1172	91	119	489	105	586	131	90	246	45	41	28	45	90	70	47	49	40	17	82	23	9	87	75	14	13	5	17	16	3	40	26	5	38	9	3	10	9	19	3	36	4	1	13	11	12	1	2	2	0	1	2	1	1	3	2	16	6	2	0	0	2	4	3	7	0	1	0	0	2	0	0	0	0	0	0	1	0	0	0	2	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
0.03	south25_all	80	13689	6695	3258	1410	1083	832	1850	560	506	1288	316	323	625	222	650	212	175	316	110	115	84	89	120	103	81	74	70	48	90	40	34	94	94	30	28	22	32	28	18	46	41	13	45	15	8	14	20	10	4	42	5	2	7	26	23	3	4	4	1	2	5	2	1	5	3	11	6	5	0	3	5	6	4	8	1	1	2	0	4	2	0	0	1	0	0	0	1	0	1	2	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0
0.03	south25_active	80	10933	5517	2346	391	333	167	1630	138	171	1138	83	113	533	94	593	143	85	259	51	35	24	39	93	72	46	44	45	16	79	21	7	86	91	15	15	5	20	20	5	41	38	5	40	9	5	12	14	8	1	41	2	1	6	22	22	0	2	2	0	1	3	0	1	5	1	9	6	4	0	0	4	6	4	7	0	1	2	0	2	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
0.03	south26_all	80	13609	6840	3082	1400	1049	774	1837	561	484	1355	331	307	643	217	626	215	178	276	110	110	87	93	104	107	79	66	65	46	81	44	45	70	105	27	29	24	29	25	14	46	43	15	50	14	7	17	16	10	8	32	3	1	8	20	45	4	6	3	2	1	2	2	2	4	0	11	7	6	1	4	3	4	3	7	3	0	3	1	4	2	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south26_active	80	10812	5581	2142	369	308	155	1604	137	160	1234	78	107	565	91	571	138	92	217	44	32	25	35	78	68	47	40	42	18	64	22	12	63	100	15	15	7	14	19	5	41	38	6	45	8	5	15	6	9	3	32	0	1	7	17	44	0	3	2	1	1	1	0	2	3	0	9	7	5	0	1	2	4	3	6	1	0	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south27_all	80	13636	6818	3161	1420	1095	761	1830	543	490	1331	331	299	678	234	646	216	165	242	111	111	84	90	105	102	90	66	64	41	86	41	45	86	91	24	26	27	23	26	20	28	43	11	42	14	8	15	20	17	10	24	3	2	8	19	41	5	5	4	3	2	4	2	4	6	0	9	5	5	2	3	2	3	1	0	2	0	3	3	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
