label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47	Otu48	Otu49	Otu50	Otu51	Otu52	Otu53	Otu54	Otu55	Otu56	Otu57	Otu58	Otu59	Otu60	Otu61	Otu62	Otu63	Otu64	Otu65	Otu66	Otu67	Otu68	Otu69	Otu70	Otu71	Otu72	Otu73	Otu74	Otu75	Otu76	Otu77	Otu78	Otu79	Otu80	Otu81	Otu82	Otu83	Otu84	Otu85	Otu86	Otu87	Otu88	Otu89	Otu90	Otu91	Otu92	Otu93	Otu94	Otu95	Otu96	Otu97	Otu98	Otu99	Otu100	Otu101	Otu102	Otu103	Otu104	Otu105	Otu106	Otu107	Otu108	Otu109	Otu110	Otu111	Otu112	Otu113	Otu114	Otu115	Otu116	Otu117	Otu118	Otu119	Otu120	Otu121	Otu122	Otu123	Otu124
0.03	north16_all	80	29619	15392	10690	10266	7621	7056	3386	2137	2823	1944	1465	1138	873	1285	985	874	1053	668	443	509	402	535	466	212	319	272	168	165	131	136	110	144	166	148	68	143	112	61	50	127	79	67	59	39	26	28	28	35	30	19	15	25	19	34	28	28	43	3	16	17	5	14	20	14	8	2	4	5	3	6	7	2	5	4	0	2	2	2	0	1	6	0	4	2	1	3	4	6	0	2	0	0	0	0	1	1	0	0	0	1	0	0	0	0	1	2	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
0.03	north16_active	80	15799	9818	7326	8417	6210	6113	2192	1057	2198	1278	921	597	304	1027	683	622	874	452	247	346	266	443	381	68	229	173	45	85	49	80	52	106	125	126	14	123	89	17	23	108	64	55	44	15	9	5	10	19	12	9	5	24	9	27	21	25	39	2	11	15	3	10	15	12	3	0	2	0	0	4	6	1	5	0	0	1	2	2	0	0	4	0	4	0	0	3	2	6	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
0.03	north17_all	80	29477	15504	10543	10240	7713	7413	3347	2215	2822	1886	1512	1146	872	1407	969	869	1040	587	435	497	373	601	425	215	299	268	160	185	140	163	113	147	168	151	66	134	124	66	47	109	116	59	67	41	25	31	28	31	26	25	14	31	15	36	25	31	28	9	15	21	5	6	20	16	6	1	5	3	3	4	8	2	7	2	1	2	3	4	1	2	9	0	2	2	2	3	4	6	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0	1	1	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
0.03	north17_active	80	15807	9904	7181	8381	6294	6460	2153	1075	2179	1243	930	592	307	1143	683	617	860	411	251	343	238	521	338	63	220	180	37	92	53	104	56	111	129	130	19	110	105	15	22	91	97	46	49	16	8	6	8	20	14	12	3	29	5	29	18	30	26	4	10	17	3	2	16	15	3	0	2	0	0	3	6	1	5	0	1	2	2	4	0	0	7	0	2	1	1	3	4	6	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north18_all	80	29399	15578	10443	10411	7757	7518	3245	2247	2757	1875	1480	1125	846	1459	985	914	1086	612	444	494	405	580	455	222	294	274	158	183	150	166	119	141	187	145	70	124	135	65	47	114	106	58	64	39	32	32	29	30	22	24	12	34	14	36	23	46	32	9	13	27	8	6	18	13	4	2	4	4	7	5	8	1	8	1	2	2	3	4	2	4	8	0	1	2	2	2	4	6	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0	1	1	1	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0
0.03	north18_active	80	15847	9874	7130	8606	6341	6582	2097	1091	2093	1246	902	604	283	1178	699	643	865	433	264	336	267	487	366	78	236	187	43	87	57	116	55	97	128	124	21	100	117	16	16	97	87	42	49	18	12	6	7	20	16	11	2	32	2	31	15	43	30	3	9	24	5	4	15	13	2	1	2	0	3	5	5	0	6	0	2	2	2	4	1	2	7	0	1	1	1	2	4	6	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north19_all	80	29420	15655	10458	10355	7670	7414	3232	2228	2822	1838	1511	1137	910	1519	983	857	1083	565	457	509	405	553	486	220	327	271	155	181	153	156	118	153	179	138	70	128	142	62	48	104	98	56	51	36	30	38	38	26	17	25	11	37	12	26	25	40	34	8	9	12	13	7	11	5	4	2	5	3	5	7	7	3	5	0	3	2	1	3	3	3	3	0	1	1	2	1	2	6	0	0	3	0	1	0	0	0	1	0	1	0	0	0	0	1	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0
0.03	north19_active	80	15816	9910	7101	8569	6282	6498	2121	1067	2160	1219	940	612	299	1223	698	600	859	391	268	359	267	445	396	75	260	179	48	89	60	108	52	111	119	114	18	106	120	19	19	86	82	42	41	17	13	8	10	16	12	11	2	34	3	19	16	36	33	2	6	10	9	5	10	5	2	1	1	0	3	7	3	0	3	0	2	2	0	3	2	2	3	0	0	1	1	1	2	6	0	0	3	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north20_all	80	29425	15805	10708	10321	7690	7134	3254	2213	2832	1888	1547	1120	862	1517	1005	856	1044	600	478	495	426	489	441	236	339	256	166	184	149	148	117	130	150	126	82	161	142	61	50	108	62	82	49	40	32	29	32	39	16	20	12	29	12	31	28	36	37	8	11	16	14	24	4	6	2	4	5	3	6	8	7	2	4	1	3	2	1	1	2	4	0	0	1	2	1	1	1	1	0	0	3	1	0	0	3	0	1	0	1	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north20_active	80	15712	10059	7305	8581	6318	6213	2125	1058	2158	1322	941	606	282	1212	695	606	850	419	265	345	272	378	354	80	273	171	55	89	62	98	48	97	99	98	21	138	114	16	15	92	48	66	38	17	14	4	11	21	9	11	3	25	3	24	21	32	36	1	4	13	9	23	3	4	1	3	1	0	4	7	3	0	3	0	2	2	0	1	2	3	0	0	0	1	1	1	1	1	0	0	3	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
