label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47	Otu48	Otu49	Otu50	Otu51	Otu52	Otu53	Otu54	Otu55	Otu56	Otu57	Otu58	Otu59	Otu60	Otu61	Otu62	Otu63	Otu64	Otu65	Otu66	Otu67	Otu68	Otu69
0.03	south26_all	80	57260	14659	9046	9925	5917	4378	4239	2181	1058	2012	1410	1064	448	676	648	574	299	356	322	211	227	120	91	80	112	79	104	27	30	32	33	23	15	17	10	10	6	6	3	2	6	7	6	8	6	2	2	2	2	3	2	0	0	4	0	0	1	0	0	0	0	0	0	0	0	0	3	0	0	0
0.03	south26_active	80	35642	7521	4837	6094	3502	2673	2760	1301	473	1187	878	666	197	398	405	362	171	244	199	124	137	64	38	43	58	48	72	17	14	11	20	16	8	12	8	8	2	3	2	0	4	3	5	5	3	1	2	2	1	3	2	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0
0.03	south27_all	80	55580	14373	8804	9661	5804	4211	4064	2192	1058	2007	1386	1027	436	607	648	560	308	345	291	221	217	112	88	81	109	70	75	31	28	28	37	22	16	18	10	10	7	4	1	3	6	6	4	9	8	2	2	2	2	0	2	0	0	4	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0
0.03	south27_active	80	34222	7324	4635	5919	3478	2507	2560	1286	461	1211	859	669	201	367	398	336	180	227	174	133	132	61	35	45	58	40	43	18	13	10	24	13	8	12	7	7	3	1	1	0	4	3	3	5	4	1	2	2	1	0	2	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0
0.03	south28_all	80	53572	14319	8648	9506	5594	4096	3974	2190	1051	1939	1347	952	430	620	680	533	297	346	232	211	203	131	71	80	91	58	64	26	30	25	38	19	16	10	7	11	4	6	3	4	4	7	5	23	15	2	3	2	3	0	0	0	1	6	0	0	2	0	0	0	0	0	0	0	0	0	2	0	0	0
0.03	south28_active	80	32664	7162	4461	5795	3321	2422	2459	1280	465	1169	817	591	206	371	406	326	165	223	151	120	125	73	28	45	53	37	36	13	18	7	21	11	8	4	5	9	2	2	1	0	2	5	2	20	3	1	2	2	1	0	0	0	1	4	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0
0.03	south29_all	80	51663	14162	8423	9090	5351	3922	3765	2222	1082	1866	1278	902	461	625	673	516	293	323	225	203	185	145	63	84	91	54	50	26	33	24	37	26	21	13	5	9	6	5	3	3	2	9	5	18	14	0	1	2	2	1	0	0	1	5	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0
0.03	south29_active	80	31080	7045	4258	5484	3126	2226	2291	1242	472	1147	738	545	207	347	396	324	165	193	143	122	114	77	27	49	53	30	30	10	19	10	20	16	15	8	4	6	3	2	1	0	1	5	2	15	2	0	0	1	1	1	0	0	1	4	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south30_all	80	51000	14152	8375	8860	5165	3990	3719	2225	1060	1839	1290	924	485	641	631	467	295	267	206	190	178	131	66	76	73	45	60	27	39	21	31	24	16	12	5	6	10	5	4	2	3	7	5	16	11	0	1	2	2	1	0	0	1	2	1	0	1	1	6	0	0	0	0	0	0	0	0	1	0	0
0.03	south30_active	80	30635	7050	4213	5269	2944	2246	2266	1257	479	1140	764	528	226	368	369	299	155	155	133	119	112	75	37	42	42	26	39	11	19	9	19	15	12	6	5	4	4	2	1	0	0	4	2	15	2	0	0	1	1	1	0	0	1	2	0	0	1	0	6	0	0	0	0	0	0	0	0	0	0	0
0.03	south31_all	80	57075	14751	9330	9963	5730	4296	4397	2378	1067	2177	1446	1034	427	671	686	529	313	304	271	244	201	124	89	80	85	64	67	26	23	22	26	23	15	18	17	12	7	5	7	4	7	4	4	4	4	1	2	4	2	1	0	1	0	1	0	0	1	1	0	0	0	0	0	0	2	1	3	0	1	0
0.03	south31_active	80	35468	7784	4979	6112	3469	2474	2735	1371	493	1382	882	617	192	398	432	324	189	163	172	161	137	69	28	32	49	38	42	13	13	7	17	11	11	13	12	6	2	4	5	2	3	1	2	3	2	0	2	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0
