label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47	Otu48	Otu49	Otu50	Otu51	Otu52	Otu53	Otu54	Otu55	Otu56	Otu57	Otu58	Otu59	Otu60	Otu61	Otu62	Otu63	Otu64	Otu65	Otu66	Otu67	Otu68	Otu69	Otu70	Otu71	Otu72	Otu73	Otu74	Otu75	Otu76	Otu77	Otu78	Otu79	Otu80	Otu81	Otu82	Otu83	Otu84	Otu85	Otu86	Otu87	Otu88	Otu89	Otu90	Otu91	Otu92	Otu93	Otu94	Otu95	Otu96	Otu97	Otu98	Otu99	Otu100	Otu101	Otu102	Otu103	Otu104	Otu105	Otu106
0.03	south21_all	80	22135	5473	2679	2904	3196	1074	1179	721	523	1122	423	375	870	283	318	583	195	125	133	196	123	153	106	99	119	56	112	121	44	33	26	32	15	49	25	21	17	21	21	16	10	5	17	30	21	10	6	6	4	6	8	7	6	15	5	7	1	2	5	4	3	4	1	2	4	1	2	2	0	0	1	0	1	2	1	0	1	4	1	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0
0.03	south21_active	80	19209	3568	1243	2178	2743	444	820	314	159	963	194	174	769	103	205	504	67	55	51	154	79	118	70	54	88	26	98	106	25	12	20	22	6	41	6	5	7	6	16	5	4	1	6	24	20	9	2	2	2	4	2	4	3	14	3	4	0	1	2	4	2	1	0	2	4	1	1	1	0	0	0	0	1	0	1	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south22_all	80	22400	5510	2661	2976	3199	1034	1157	701	530	1139	425	339	782	268	306	546	176	137	129	210	136	145	93	91	111	58	98	112	42	41	32	38	28	46	26	19	17	15	21	15	13	10	19	24	34	12	6	8	1	3	8	9	7	10	4	5	2	2	4	4	3	4	1	2	3	0	1	2	0	1	1	0	1	1	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0	1	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0
0.03	south22_active	80	19399	3528	1217	2265	2784	415	799	310	154	952	187	149	689	98	190	474	53	55	50	164	90	109	61	56	88	27	83	98	24	15	23	27	11	34	6	6	5	6	15	4	6	4	7	19	34	10	1	2	0	2	4	4	4	8	3	3	0	1	1	3	1	1	0	2	3	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south23_all	80	22497	5458	2704	3000	3258	1032	1118	734	534	1196	456	339	784	255	299	568	172	149	121	212	152	148	97	97	103	56	100	130	43	42	35	45	36	53	21	19	15	16	19	16	19	7	16	26	32	13	8	9	0	1	5	6	8	10	6	4	2	2	3	4	3	3	2	7	3	1	2	2	0	1	2	1	0	1	0	0	1	0	2	1	0	1	0	0	0	0	0	0	1	1	0	1	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0
0.03	south23_active	80	19483	3446	1257	2274	2834	425	769	360	151	1019	195	145	695	89	182	495	61	66	42	168	105	112	58	64	79	26	88	116	22	15	23	29	16	38	5	7	6	8	14	4	8	4	4	21	32	11	1	4	0	0	3	3	3	8	3	2	0	1	1	3	0	1	0	7	3	1	2	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south24_all	80	22454	5499	2741	2984	3323	993	1111	741	523	1170	402	338	797	241	317	546	167	155	124	196	155	149	101	92	82	56	108	114	42	39	40	46	35	53	21	24	14	19	18	11	20	8	14	19	33	14	10	8	5	0	6	3	9	8	6	3	3	1	1	6	4	0	1	7	4	1	2	2	1	1	1	1	0	1	1	1	1	0	1	1	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0
0.03	south24_active	80	19501	3534	1255	2227	2915	391	761	362	150	997	169	147	712	77	183	493	74	60	51	147	114	118	57	63	58	26	93	102	21	12	28	26	15	40	2	7	6	9	14	4	8	4	7	14	31	10	2	3	2	0	4	0	5	5	3	1	1	1	0	5	1	0	0	7	4	1	2	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south25_all	80	22026	5421	2724	2926	3426	1007	1155	735	513	1268	381	345	914	262	321	572	180	159	129	209	152	149	107	94	89	56	102	110	51	33	41	48	33	56	19	22	14	16	16	11	17	9	15	15	23	15	9	8	8	1	5	2	13	7	7	2	3	2	0	6	3	2	1	6	1	1	3	1	2	1	1	2	0	0	1	1	0	0	1	1	0	1	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0
0.03	south25_active	80	19102	3462	1259	2130	2976	401	822	356	142	1098	167	158	824	91	205	517	98	58	53	160	112	125	63	67	66	23	87	96	24	9	26	29	10	44	1	4	6	9	13	5	7	6	11	11	21	11	2	4	3	0	1	0	8	6	4	0	1	2	0	5	1	1	0	6	1	1	3	1	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
