label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47	Otu48	Otu49	Otu50	Otu51	Otu52	Otu53	Otu54	Otu55	Otu56	Otu57	Otu58	Otu59	Otu60	Otu61	Otu62	Otu63	Otu64	Otu65	Otu66	Otu67	Otu68	Otu69	Otu70	Otu71	Otu72	Otu73	Otu74	Otu75	Otu76	Otu77	Otu78	Otu79	Otu80	Otu81	Otu82	Otu83	Otu84	Otu85	Otu86	Otu87	Otu88	Otu89	Otu90	Otu91	Otu92	Otu93	Otu94	Otu95	Otu96	Otu97	Otu98	Otu99	Otu100	Otu101	Otu102	Otu103
0.03	north16_all	80	10277	2773	2563	1517	1029	1301	638	617	925	326	253	226	163	230	98	119	189	117	104	85	135	164	78	71	39	45	45	31	62	42	17	37	19	22	14	46	7	13	16	14	9	11	8	8	8	1	7	8	8	2	2	3	3	0	0	9	2	3	5	4	2	0	0	0	1	2	0	10	3	0	0	0	0	0	1	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north16_active	80	6447	1354	1494	834	528	804	348	321	611	173	139	134	68	136	37	58	119	67	62	43	80	109	51	38	16	17	21	20	41	22	9	18	12	11	6	20	3	8	10	9	4	6	4	5	5	1	5	5	3	1	1	0	1	0	0	5	1	1	4	3	0	0	0	0	0	1	0	6	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north17_all	80	10211	2818	2600	1576	1072	1195	638	618	928	336	241	231	165	239	112	116	179	115	95	72	175	152	84	66	39	45	47	31	51	35	12	45	18	22	13	43	7	15	11	8	10	12	9	7	5	0	10	5	10	4	2	2	6	0	0	4	2	2	4	4	2	0	1	1	1	1	0	5	2	0	0	0	0	2	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north17_active	80	6397	1391	1512	878	562	711	351	333	612	179	132	133	68	135	42	57	101	64	55	33	109	99	49	42	17	24	25	16	35	13	7	25	12	10	6	12	2	11	6	4	5	5	5	5	4	0	8	3	5	1	1	0	4	0	0	1	1	1	3	2	0	0	1	1	0	0	0	5	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north18_all	80	9776	2683	2468	1498	1012	1146	601	562	850	310	237	229	168	226	122	127	174	127	97	68	142	147	78	68	38	34	39	26	44	28	15	46	16	20	13	20	7	18	11	8	10	12	7	5	8	0	8	6	10	5	1	0	5	1	2	4	1	1	3	5	3	0	1	1	0	1	1	6	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
0.03	north18_active	80	6004	1315	1425	851	517	653	325	307	567	170	124	137	74	120	55	57	95	72	55	31	89	94	42	41	16	20	21	11	33	14	8	28	11	9	6	5	3	13	7	3	5	5	3	3	4	0	6	3	5	0	1	0	3	0	1	1	1	0	2	3	0	0	1	1	0	0	0	5	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
0.03	north19_all	80	9168	2577	2464	1442	957	1084	595	530	793	299	235	243	165	200	131	128	164	109	99	63	165	124	87	64	42	34	39	24	51	31	10	42	25	17	14	31	11	17	9	6	9	10	9	3	9	1	8	4	9	4	3	2	4	1	2	7	1	1	1	5	2	0	2	2	1	2	1	4	1	0	0	0	1	2	1	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1
0.03	north19_active	80	5533	1244	1435	815	478	647	322	302	520	147	111	138	78	92	59	56	96	58	61	32	108	74	50	39	18	16	23	10	35	16	4	26	18	4	5	17	5	11	5	2	6	3	3	3	4	0	5	2	4	0	1	2	3	0	1	3	0	0	0	2	0	0	1	2	1	1	0	2	0	0	0	0	1	1	1	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
0.03	north20_all	80	8650	2481	2277	1291	910	1078	570	495	739	285	238	221	168	210	144	132	169	110	100	64	172	108	103	78	38	35	36	23	44	30	17	40	19	15	10	34	14	15	5	10	5	10	12	2	7	2	7	3	10	7	8	3	2	1	4	6	1	1	3	5	1	1	1	2	1	1	2	5	0	0	2	0	1	1	1	0	1	0	1	0	0	0	0	0	2	0	0	0	0	1	0	0	0	1	0	0	0	0	2	0	0	0	0	1
0.03	north20_active	80	5104	1170	1301	702	437	651	290	273	490	131	115	117	77	98	65	54	97	50	57	30	115	66	65	48	14	15	21	11	29	14	5	22	11	3	4	24	9	8	3	6	3	3	7	2	3	0	4	1	5	2	6	3	1	0	3	3	0	0	2	3	0	1	0	1	1	1	1	3	0	0	2	0	1	0	1	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1
0.03	south21_all	80	5479	5754	1829	1461	1191	643	453	469	380	316	338	296	311	182	203	118	167	83	95	64	43	74	78	39	38	59	36	49	44	23	23	17	11	15	10	29	7	34	18	9	10	6	6	1	15	5	5	2	8	4	3	8	5	0	3	9	1	1	2	0	0	0	7	2	0	0	1	0	2	1	1	1	0	0	1	1	1	0	1	1	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south21_active	80	2579	3642	972	843	679	307	219	221	205	158	196	173	175	86	130	47	94	42	48	33	22	40	41	20	20	33	20	30	31	12	9	7	3	9	4	21	3	23	10	6	9	4	2	1	14	4	1	1	5	2	0	4	1	0	3	3	0	0	1	0	0	0	6	0	0	0	1	0	2	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south22_all	80	5528	5894	1807	1449	1156	640	478	463	427	328	331	289	348	175	199	106	160	83	80	59	51	71	75	38	36	55	32	42	39	21	22	18	14	14	12	22	10	24	12	9	12	4	6	4	16	6	13	3	7	4	3	6	4	1	1	7	1	1	4	1	0	0	6	2	0	0	1	5	2	0	1	0	0	1	1	1	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
