label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47	Otu48	Otu49	Otu50	Otu51	Otu52	Otu53	Otu54	Otu55	Otu56	Otu57	Otu58	Otu59	Otu60	Otu61
0.03	north19_all	80	3520	2305	1031	1282	603	347	527	198	163	120	89	80	94	45	43	40	35	144	27	15	14	46	7	12	4	35	8	0	2	6	3	3	0	4	2	1	2	2	6	7	0	9	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north19_active	80	1045	1610	499	1039	413	117	408	89	92	49	21	32	73	12	15	22	15	133	12	4	9	38	3	2	4	33	5	0	1	4	3	0	0	3	0	1	2	1	5	7	0	7	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north20_all	80	3505	2298	1027	1327	596	346	494	190	149	112	99	81	96	48	37	42	35	150	27	13	17	51	8	14	7	44	8	2	2	6	2	3	0	4	2	1	2	1	1	8	0	12	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north20_active	80	1040	1587	508	1071	389	115	376	81	83	45	26	34	73	12	15	26	14	138	15	3	12	43	3	3	6	44	5	0	1	4	2	1	0	2	1	1	2	1	1	7	0	10	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south21_all	80	3470	2270	979	1325	639	298	474	210	158	116	78	69	79	48	43	29	19	127	26	12	27	20	12	8	7	18	6	2	5	3	3	2	1	0	0	1	0	1	1	0	4	0	0	0	2	0	1	0	0	3	0	0	0	0	0	0	0	0	0	1	0	0
0.03	south21_active	80	1048	1574	485	1092	427	98	367	92	91	45	22	42	45	12	20	13	6	121	20	3	25	15	2	1	3	16	6	2	2	1	1	0	0	0	0	1	0	0	1	0	4	0	0	0	1	0	1	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south22_all	80	3475	2292	954	1296	654	284	480	196	166	109	79	71	77	46	38	30	25	117	23	16	25	18	10	9	4	18	5	3	3	4	4	4	2	1	0	1	0	1	1	0	4	0	1	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0
0.03	south22_active	80	1051	1586	477	1065	433	90	389	80	95	46	29	38	53	12	20	16	9	113	15	3	23	15	1	1	1	17	5	3	1	2	2	2	0	0	0	1	0	0	1	0	4	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south23_all	80	3409	2351	996	1318	690	289	495	192	176	117	92	83	90	47	36	29	38	112	21	17	24	19	7	9	5	24	5	3	4	5	4	2	3	1	0	0	3	0	0	1	0	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0
0.03	south23_active	80	1030	1604	508	1088	474	97	410	83	93	48	34	39	69	11	20	14	17	110	13	3	20	16	3	2	0	22	3	1	1	2	2	2	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south24_all	80	3409	2190	977	1313	649	296	477	206	168	112	97	89	85	44	24	28	37	89	28	16	18	21	10	9	6	31	5	4	4	8	2	2	2	2	0	1	3	2	1	1	0	2	2	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south24_active	80	975	1438	483	1064	435	92	387	93	84	43	32	35	60	10	11	14	14	86	20	2	14	16	2	2	0	29	3	1	1	6	1	2	1	1	0	1	1	1	0	0	0	2	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south25_all	80	3416	2055	935	1160	599	310	417	207	161	110	99	74	68	40	29	28	34	89	28	11	28	22	9	6	6	27	7	5	2	10	1	0	2	2	0	2	4	3	1	3	1	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south25_active	80	887	1308	415	893	395	82	317	88	85	45	29	25	39	9	10	10	14	85	19	2	17	16	2	2	2	24	5	0	0	7	0	0	1	1	0	2	1	1	0	0	1	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south26_all	80	3400	1946	920	1010	534	318	353	201	147	99	107	64	60	40	36	29	23	73	26	7	26	19	11	6	7	14	3	5	2	7	1	0	2	3	0	2	2	3	1	2	1	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south26_active	80	819	1186	383	739	337	86	254	82	67	32	31	19	26	11	12	9	10	65	18	1	15	14	1	1	3	10	3	0	0	5	0	0	1	1	0	2	1	1	0	0	1	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south27_all	80	3326	1887	904	912	479	324	310	203	153	98	104	59	66	39	45	31	18	56	21	8	19	15	12	8	9	9	3	3	4	3	2	0	3	4	0	1	1	5	0	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
