label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47	Otu48	Otu49	Otu50	Otu51	Otu52	Otu53	Otu54	Otu55	Otu56	Otu57	Otu58	Otu59	Otu60	Otu61	Otu62	Otu63	Otu64	Otu65	Otu66	Otu67	Otu68	Otu69	Otu70	Otu71	Otu72	Otu73	Otu74	Otu75	Otu76	Otu77	Otu78	Otu79	Otu80	Otu81	Otu82	Otu83	Otu84	Otu85	Otu86	Otu87	Otu88	Otu89	Otu90	Otu91	Otu92	Otu93	Otu94	Otu95	Otu96	Otu97	Otu98
0.03	south36_all	80	6040	7656	1559	1401	999	724	1100	435	325	638	237	260	488	142	101	91	169	98	82	57	58	56	150	51	26	174	25	26	53	27	35	19	16	28	14	9	18	7	7	21	10	7	2	3	3	21	6	17	2	7	7	3	11	15	4	2	2	2	1	3	0	2	1	4	0	1	1	0	0	0	0	1	1	0	0	1	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south36_active	80	2563	6737	482	860	600	396	921	128	128	533	59	161	440	58	21	21	139	44	50	23	21	19	135	29	13	162	4	4	47	12	29	9	6	24	6	2	17	4	1	19	9	3	0	1	0	18	3	17	2	7	6	0	11	15	4	0	1	0	1	3	0	0	0	3	0	1	0	0	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south37_all	80	5949	7129	1603	1417	1023	704	1071	411	326	612	231	240	447	141	112	102	147	90	88	59	67	48	143	53	35	102	33	17	50	22	25	17	16	29	12	11	19	8	4	19	7	7	2	1	3	7	7	18	4	6	5	4	13	2	4	2	3	1	1	3	0	1	1	1	0	0	1	0	0	0	0	1	1	0	0	1	1	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south37_active	80	2483	6180	467	863	619	364	897	108	122	512	58	137	390	54	26	23	115	35	51	21	24	15	122	32	15	94	7	4	44	8	20	11	9	24	5	1	17	2	0	18	5	1	0	0	0	4	5	17	4	6	4	2	13	2	4	0	1	0	1	3	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south38_all	80	5846	6423	1570	1392	933	682	975	375	331	581	206	232	417	151	114	113	135	84	93	52	58	51	141	51	37	102	32	21	42	22	28	15	15	24	10	12	18	11	6	24	5	7	3	6	1	7	7	23	5	6	6	4	5	3	4	2	3	0	1	1	0	0	0	1	0	0	1	0	0	0	0	1	1	1	0	0	1	0	0	2	1	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south38_active	80	2266	5428	436	795	546	346	774	85	122	470	52	121	361	50	31	24	95	37	51	16	20	15	122	28	16	94	11	3	36	6	22	8	7	18	5	3	16	4	1	24	3	2	0	1	0	5	5	22	4	6	5	3	5	2	4	0	1	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south39_all	80	5693	5752	1583	1349	924	646	934	393	328	472	191	218	375	159	115	111	114	77	88	68	51	41	115	51	37	86	27	15	38	22	32	18	12	20	10	13	24	10	5	27	4	5	4	7	2	2	5	9	4	6	5	4	3	4	1	3	3	0	1	2	1	1	0	1	1	5	1	0	0	1	0	0	1	1	0	0	3	0	0	1	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south39_active	80	2061	4720	406	739	523	303	721	81	111	363	53	96	314	49	36	24	76	31	45	28	18	14	94	26	13	78	9	2	31	9	23	8	4	14	3	4	22	3	2	25	3	2	0	1	1	1	4	8	3	4	3	3	2	3	1	1	0	0	1	1	1	1	0	1	0	3	0	0	0	0	0	0	1	1	0	0	3	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south40_all	80	5560	5233	1552	1287	908	667	865	377	331	449	203	222	302	158	114	103	113	77	77	72	51	50	94	50	35	46	19	21	45	23	31	15	11	13	11	14	21	9	5	32	1	6	4	9	2	4	4	13	4	7	4	3	1	6	1	1	2	0	1	3	2	1	0	0	1	5	0	0	0	1	0	0	1	1	0	0	3	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south40_active	80	1855	4185	373	644	468	295	648	69	91	330	54	101	242	46	35	22	63	28	36	31	13	16	79	22	10	36	7	4	37	10	22	6	3	6	1	4	16	4	2	29	1	2	0	1	1	3	4	13	3	4	2	3	0	5	1	1	1	0	1	2	1	1	0	0	0	3	0	0	0	0	0	0	1	1	0	0	3	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
