label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47	Otu48	Otu49	Otu50	Otu51
0.03	north12_all	80	68854	29317	8505	5231	6508	4982	1828	1256	1548	632	435	343	348	226	172	108	103	108	47	86	28	22	31	11	12	10	8	5	1	2	4	2	2	8	5	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north12_active	80	42561	17978	4249	2544	4092	3139	920	619	978	306	196	162	191	132	87	63	47	71	17	66	12	12	18	2	3	5	5	2	1	1	2	1	1	8	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north13_all	80	68805	29284	8575	5207	6280	4948	1818	1299	1531	644	449	349	339	214	175	126	104	107	46	85	30	17	25	14	12	9	6	3	3	3	5	3	2	2	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north13_active	80	42566	17995	4275	2535	3848	3135	901	657	983	306	228	166	186	121	88	68	51	72	21	68	14	10	14	7	4	5	4	1	3	1	3	2	0	2	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north14_all	80	68819	28570	8588	5159	6248	4761	1743	1289	1490	635	452	358	357	213	177	122	100	103	54	64	34	21	26	18	14	7	8	8	7	3	5	2	1	8	3	1	2	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0
0.03	north14_active	80	42607	17610	4272	2484	3746	3026	886	656	929	316	234	175	187	111	93	65	48	74	25	50	20	9	13	10	5	4	5	1	4	0	3	1	0	6	3	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north15_all	80	68981	28121	8638	5124	6287	4894	1680	1308	1378	642	460	357	352	181	192	121	99	110	52	57	38	25	23	28	12	2	8	5	7	3	3	2	1	8	0	0	2	1	1	1	0	0	1	0	0	0	0	0	0	0	0	0
0.03	north15_active	80	42714	17405	4223	2496	3789	3071	889	661	836	327	230	184	188	89	106	60	54	79	24	43	26	9	13	18	5	1	3	0	4	0	2	1	0	6	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north16_all	80	68992	28593	8717	5133	6389	4852	1670	1246	1484	627	458	365	412	177	195	116	107	104	57	48	41	33	28	28	17	2	10	6	9	3	4	2	0	7	1	0	3	1	1	1	0	0	1	0	1	0	0	0	0	1	0	0
0.03	north16_active	80	42801	17590	4192	2483	3957	3068	907	634	900	317	215	189	241	86	109	53	60	77	26	31	26	10	18	16	10	1	4	0	5	0	2	0	0	5	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
0.03	north17_all	80	69531	28667	8708	5164	6427	4911	1718	1228	1530	626	465	348	360	175	178	121	107	105	50	48	37	33	22	25	19	3	11	3	5	2	2	2	0	2	1	0	1	1	1	1	0	0	0	0	1	0	0	0	0	1	0	0
0.03	north17_active	80	43064	17570	4177	2488	4092	3089	920	628	898	310	207	175	212	83	98	62	60	75	20	29	21	10	15	13	10	2	3	0	2	0	1	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
0.03	north18_all	80	69368	29058	8611	5180	6359	4870	1774	1229	1611	629	445	336	365	179	176	126	110	109	53	83	22	39	27	25	18	4	11	2	8	2	3	1	0	1	1	0	1	1	1	0	0	0	0	1	1	0	0	0	0	4	0	1
0.03	north18_active	80	42912	17861	4148	2464	4032	3077	937	612	917	316	194	161	225	78	94	60	65	74	23	58	7	15	18	14	11	3	5	1	5	1	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0
0.03	north19_all	80	69111	29205	8415	5201	6455	4847	1810	1195	1526	632	452	336	335	183	163	132	113	121	43	88	23	30	17	23	15	9	16	2	5	2	5	1	1	1	1	0	2	1	0	0	0	1	0	1	0	0	0	0	0	3	0	1
0.03	north19_active	80	42675	18064	4105	2532	4038	3067	903	598	887	322	206	156	195	76	82	65	63	71	19	65	8	13	8	13	8	6	8	2	3	1	2	1	0	1	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	3	0	0
0.03	north20_all	80	68963	29294	8360	5263	6423	4707	1813	1188	1503	616	452	341	376	187	159	133	106	113	48	103	23	27	23	21	12	9	15	2	4	2	4	2	1	0	0	0	4	1	0	1	0	1	0	1	0	0	0	0	0	3	0	1
0.03	north20_active	80	42554	18340	4095	2557	3986	2960	902	583	897	314	210	169	199	87	83	67	56	50	27	72	10	15	11	13	7	5	6	2	3	1	2	2	0	0	0	0	4	0	0	0	0	1	0	0	0	0	0	0	0	3	0	0
0.03	south21_all	80	36230	17939	8298	10614	6483	3342	3051	1194	1404	887	564	681	694	307	193	217	227	96	58	43	29	18	18	28	31	10	11	2	5	4	5	5	7	2	3	1	1	2	0	1	0	1	0	0	0	0	0	0	0	0	1	0
