label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47	Otu48	Otu49	Otu50	Otu51	Otu52	Otu53	Otu54	Otu55	Otu56	Otu57	Otu58	Otu59	Otu60	Otu61	Otu62	Otu63
0.03	north8_active	80	11514	834	885	2686	2402	685	156	530	108	104	60	81	145	31	21	27	114	157	30	28	9	6	6	23	42	7	8	2	2	17	4	22	2	5	0	3	1	2	0	0	0	0	0	0	3	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0
0.03	north9_all	80	14873	3702	2257	3220	2702	975	515	678	332	254	192	173	219	105	90	62	177	139	54	57	34	22	26	32	32	14	12	8	3	17	5	16	4	10	3	2	0	2	0	0	1	0	0	0	3	0	0	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north9_active	80	11321	858	885	2680	2312	621	164	512	100	105	56	79	156	34	24	23	156	129	33	31	9	5	8	24	27	6	6	4	0	17	4	16	2	8	0	2	0	2	0	0	0	0	0	0	3	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north10_all	80	14877	3703	2316	3197	2598	916	511	669	306	247	199	186	223	103	84	53	186	113	48	63	34	22	28	26	34	7	16	8	8	18	5	6	4	6	3	0	1	4	2	0	1	0	0	0	0	0	0	1	0	0	1	0	0	5	0	0	0	0	0	0	0	0	0	0
0.03	north10_active	80	11404	876	914	2653	2224	582	156	503	83	105	57	87	162	31	21	18	163	100	29	36	6	5	8	18	28	3	7	4	3	17	2	6	1	4	0	0	0	4	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0
0.03	north11_all	80	13015	3605	2174	2690	2027	921	556	598	320	257	195	180	180	104	80	84	126	126	39	37	21	20	17	18	23	16	15	7	5	8	9	7	3	14	3	3	1	3	3	1	0	2	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
0.03	north11_active	80	9314	919	712	2135	1678	593	149	410	65	81	52	77	110	27	20	20	97	104	17	24	5	4	5	16	19	6	7	2	4	6	5	7	2	13	0	2	0	2	1	0	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
0.03	north12_all	80	12428	3661	2179	2532	1857	868	518	594	319	249	183	167	179	109	83	88	129	113	32	34	21	32	14	16	31	14	13	5	7	8	8	6	3	10	2	5	1	2	1	1	0	1	1	0	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0
0.03	north12_active	80	8613	959	689	1972	1520	533	128	385	70	74	44	66	101	22	26	22	98	91	14	20	7	5	6	10	25	4	7	1	3	6	4	6	1	8	0	4	1	1	0	0	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0
0.03	north13_all	80	12966	3713	2204	2710	2041	885	501	619	339	244	182	177	178	121	83	81	174	120	30	30	27	34	18	12	33	11	11	8	7	9	10	6	2	3	0	4	1	1	1	1	0	2	2	1	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0
