label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47	Otu48	Otu49	Otu50
0.03	south35_active	80	38878	5767	4093	3468	1297	870	1941	1330	1154	434	678	261	359	233	135	139	114	27	40	32	38	19	24	11	9	7	6	3	2	1	4	4	2	2	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south36_all	80	62482	12376	7991	6256	2838	2014	3090	2167	1689	809	1117	498	561	393	224	218	187	54	68	70	76	39	45	21	16	29	14	7	9	4	4	5	5	3	2	0	2	1	0	0	1	0	0	0	0	1	0	0	0	0	0
0.03	south36_active	80	38951	5706	4042	3498	1296	900	1972	1315	1032	442	727	263	353	244	120	151	119	25	32	41	54	22	24	13	11	14	9	4	4	3	3	3	2	2	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south37_all	80	62978	12378	8009	6359	2709	2019	3179	2153	1635	783	1100	520	545	332	204	216	167	68	65	77	68	36	34	19	17	30	16	5	9	4	6	5	6	3	1	0	1	2	0	0	1	0	0	0	0	1	0	0	0	0	0
0.03	south37_active	80	39199	5688	4063	3591	1208	931	2020	1318	970	438	765	281	327	198	112	144	105	25	32	45	52	16	14	11	12	17	9	2	5	3	6	2	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south38_all	80	63140	12418	7954	6290	2686	1982	3150	2109	1529	845	1053	514	596	323	197	207	172	80	73	72	65	36	29	21	15	26	11	8	10	4	7	8	5	3	2	0	1	2	1	0	1	0	0	0	0	1	0	0	0	0	0
0.03	south38_active	80	39236	5738	4005	3521	1188	911	2023	1257	915	480	728	284	355	209	106	134	113	26	36	42	50	16	11	12	9	17	4	5	5	3	7	5	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south39_all	80	63360	12406	8097	6272	2630	1897	3204	2099	1498	866	961	513	621	298	184	213	167	85	71	68	46	31	38	15	12	21	11	10	9	6	6	10	5	2	2	0	1	1	1	0	1	0	0	0	0	0	0	0	0	0	0
0.03	south39_active	80	39565	5790	4113	3527	1176	877	2029	1261	923	499	643	297	382	196	102	128	109	29	41	43	32	10	23	11	4	14	6	7	4	3	5	6	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south40_all	80	63221	12565	8098	6101	2638	1901	3087	2105	1575	911	877	468	674	311	188	237	144	74	78	53	62	29	47	13	29	12	13	14	7	8	2	7	1	1	2	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south40_active	80	39349	5917	4058	3425	1144	876	1897	1278	978	508	535	279	440	200	104	146	84	32	49	31	40	12	32	5	15	6	9	8	3	5	1	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
