label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47	Otu48	Otu49	Otu50	Otu51	Otu52	Otu53	Otu54	Otu55	Otu56	Otu57	Otu58	Otu59	Otu60	Otu61	Otu62	Otu63	Otu64	Otu65	Otu66	Otu67	Otu68	Otu69	Otu70	Otu71	Otu72	Otu73	Otu74	Otu75	Otu76	Otu77	Otu78	Otu79	Otu80	Otu81	Otu82	Otu83	Otu84	Otu85	Otu86	Otu87	Otu88	Otu89	Otu90
0.03	north11_all	80	18331	3341	2413	1810	1111	833	648	523	838	741	280	370	273	177	172	129	265	100	222	90	87	95	53	49	34	39	72	31	27	58	22	25	34	22	22	8	12	13	8	14	16	8	1	19	3	16	5	2	9	1	1	2	1	6	1	3	0	2	0	1	0	1	1	3	0	0	2	0	0	0	1	1	0	0	0	1	0	2	0	0	0	1	0	0	1	0	1	0	0	0	0
0.03	north11_active	80	12065	1641	1303	917	548	418	301	268	535	462	140	227	142	83	85	56	181	59	140	40	42	60	18	26	19	24	54	19	12	39	10	19	24	9	12	3	8	4	5	7	12	5	0	15	3	5	2	2	7	0	0	1	0	1	0	2	0	2	0	1	0	0	1	3	0	0	1	0	0	0	1	0	0	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0	0	0	0
0.03	north12_all	80	18214	3338	2343	1764	1140	841	638	532	824	774	268	387	246	185	163	134	277	91	201	103	77	102	56	37	36	45	71	37	28	58	19	26	31	29	20	9	10	12	11	18	11	8	5	13	3	17	4	4	8	1	3	1	1	4	1	2	0	2	0	2	0	1	2	3	0	1	1	0	1	0	0	1	0	0	0	0	0	2	0	0	0	1	0	0	1	0	1	0	0	0	0
0.03	north12_active	80	11830	1647	1255	909	552	407	304	268	512	491	125	220	121	83	82	65	199	55	116	45	34	64	20	19	16	29	46	24	12	36	10	20	23	13	9	3	8	4	6	12	8	5	4	9	2	5	2	3	7	0	2	1	0	0	0	1	0	2	0	0	0	0	1	3	0	0	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0	0	0	0
0.03	north13_all	80	18299	3406	2388	1760	1120	894	662	505	821	735	256	399	234	184	167	127	263	95	205	113	81	97	54	36	44	61	70	32	33	57	18	23	27	22	14	10	15	9	15	18	6	8	6	13	2	18	5	6	9	1	5	1	0	3	2	2	2	1	0	2	0	1	2	1	0	1	0	0	1	0	0	1	0	1	0	0	0	1	0	0	0	1	0	0	1	0	0	0	0	0	0
0.03	north13_active	80	11954	1654	1248	955	526	421	302	244	509	457	108	233	123	90	86	63	186	51	131	56	33	68	22	18	18	44	43	18	15	38	15	19	17	10	7	3	9	6	7	11	3	5	4	8	1	8	2	3	8	0	2	1	0	0	1	1	2	1	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0	0	0	0
0.03	north14_all	80	18356	3454	2429	1716	1164	879	634	507	835	704	242	373	242	180	163	132	223	99	184	127	76	99	42	46	55	63	70	51	30	48	22	24	25	21	15	9	15	7	11	21	7	6	9	3	6	12	1	6	11	1	4	1	0	1	2	0	3	1	0	2	0	0	1	1	0	1	0	0	1	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
0.03	north14_active	80	12033	1682	1254	950	556	395	288	261	516	433	91	212	132	94	81	67	152	53	124	67	31	74	18	24	22	46	44	27	14	31	15	20	14	11	6	3	8	4	5	14	2	4	6	2	3	10	0	3	11	0	2	1	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
0.03	north15_all	80	18409	3495	2456	1720	1143	870	609	523	812	688	255	365	259	183	164	142	223	100	183	139	77	102	45	48	54	59	72	51	24	52	29	25	30	13	17	11	20	12	7	17	10	4	7	7	5	15	2	6	9	1	3	2	0	1	3	6	3	2	0	1	0	0	0	2	1	0	1	0	0	0	0	0	0	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north15_active	80	12047	1657	1266	953	560	409	274	253	496	416	102	211	147	92	85	70	147	51	125	76	35	80	15	27	23	43	45	29	12	33	17	18	18	5	13	6	10	7	3	14	5	3	4	3	3	11	1	3	7	0	1	0	0	0	1	5	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
