label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47	Otu48	Otu49	Otu50	Otu51	Otu52	Otu53	Otu54	Otu55	Otu56	Otu57	Otu58	Otu59	Otu60	Otu61	Otu62	Otu63	Otu64	Otu65	Otu66	Otu67	Otu68	Otu69	Otu70	Otu71	Otu72	Otu73	Otu74	Otu75	Otu76	Otu77	Otu78	Otu79	Otu80	Otu81	Otu82	Otu83	Otu84	Otu85	Otu86	Otu87
0.03	south33_all	80	3497	1881	1096	757	506	392	585	253	207	164	171	125	101	137	109	77	58	65	93	92	39	24	31	31	21	20	15	20	15	7	16	7	7	9	9	6	3	7	5	1	5	3	2	3	3	3	1	5	3	2	0	3	0	0	0	2	1	0	2	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0
0.03	south33_active	80	697	966	421	284	108	104	443	56	49	33	98	28	39	93	67	38	8	44	78	76	21	12	19	20	13	8	1	14	1	2	5	1	3	4	4	3	1	3	4	1	0	2	0	2	1	3	0	2	3	0	0	0	0	0	0	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0
0.03	south34_all	80	3464	1894	1060	727	525	385	627	245	195	172	169	120	100	128	116	77	57	65	89	95	35	25	29	30	25	20	10	20	11	5	14	8	8	8	6	4	2	6	5	1	6	4	3	2	3	3	1	4	1	2	0	3	1	0	0	2	1	1	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0
0.03	south34_active	80	718	981	408	275	103	99	493	50	47	31	96	28	46	89	68	38	11	43	72	80	18	12	17	16	14	9	1	15	0	1	4	0	3	4	3	2	1	2	4	1	0	3	2	2	1	3	0	2	1	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0
0.03	south35_all	80	3530	1914	1005	732	535	385	749	245	217	187	193	128	106	127	101	68	68	74	115	107	42	38	26	38	22	25	13	21	10	8	14	8	5	7	7	5	2	6	5	0	3	2	3	1	3	5	1	3	0	2	1	0	3	0	0	2	1	1	6	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south35_active	80	780	1065	410	296	108	97	601	45	55	40	126	27	41	88	63	33	16	52	90	94	23	19	15	20	12	9	1	16	0	1	7	1	1	4	4	2	1	2	4	0	0	2	2	1	1	4	0	1	0	0	0	0	2	0	0	0	1	1	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south36_all	80	3481	2086	1002	735	526	412	781	245	200	196	236	123	95	113	114	81	68	83	127	165	46	45	22	35	23	22	13	26	7	9	18	9	7	4	6	8	3	5	8	2	2	2	3	2	1	5	2	1	0	1	3	0	3	1	1	0	3	1	6	0	0	1	0	1	0	0	0	0	2	0	0	1	0	0	1	0	0	2	0	1	0	0	0	0	0	0	0	0
0.03	south36_active	80	834	1204	450	300	108	93	645	39	48	50	167	23	41	77	74	27	16	59	104	154	23	23	12	18	14	7	3	19	0	3	12	3	3	2	2	3	0	3	7	1	1	1	2	1	0	4	1	1	0	0	2	0	2	0	1	0	2	1	6	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
0.03	south37_all	80	3476	2140	1037	729	522	398	797	252	208	181	263	126	105	123	98	81	70	92	129	185	53	46	22	38	23	29	15	25	10	10	18	7	13	2	7	9	3	4	7	2	2	3	4	3	0	3	4	3	0	1	3	0	3	1	2	0	3	1	6	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	1	0	0	2	0	1	0	0	0	0	0	0	0	0
0.03	south37_active	80	885	1274	469	317	109	85	662	42	57	52	199	24	45	84	66	32	17	66	110	173	33	23	11	23	15	7	3	18	3	4	12	4	6	1	2	4	0	2	6	1	2	0	3	2	0	1	1	1	0	0	2	0	2	0	2	0	2	1	6	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
