label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47	Otu48	Otu49	Otu50	Otu51	Otu52	Otu53	Otu54	Otu55	Otu56	Otu57	Otu58	Otu59	Otu60	Otu61	Otu62	Otu63	Otu64	Otu65	Otu66	Otu67	Otu68	Otu69	Otu70	Otu71	Otu72	Otu73	Otu74	Otu75	Otu76	Otu77	Otu78	Otu79	Otu80	Otu81	Otu82	Otu83	Otu84	Otu85	Otu86	Otu87	Otu88	Otu89	Otu90	Otu91	Otu92	Otu93	Otu94	Otu95	Otu96	Otu97	Otu98
0.03	south23_all	80	29996	13700	8545	5623	11522	4082	2454	2463	2158	1321	1048	1279	1246	704	967	529	382	329	774	426	316	194	182	117	123	125	90	84	65	80	107	48	73	34	33	21	37	28	17	19	17	15	10	5	8	18	8	13	2	1	8	20	4	5	11	5	3	1	4	3	5	0	0	0	0	0	0	0	1	1	0	0	0	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south23_active	80	8389	3015	3006	1213	10242	2509	721	1441	1421	503	325	834	956	361	774	290	110	90	702	314	237	113	94	38	41	31	32	23	25	40	69	9	59	15	11	3	34	8	4	12	7	11	1	3	3	18	6	9	1	1	2	18	1	1	11	3	1	0	0	3	5	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south24_all	80	30108	13585	8614	5656	12107	4074	2418	2562	2238	1328	1048	1355	1404	741	979	548	385	321	935	432	323	199	192	133	104	131	107	82	83	73	109	52	99	26	31	25	35	27	16	14	17	19	6	7	11	28	7	8	2	2	6	20	3	4	11	2	3	0	3	3	7	0	3	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south24_active	80	8889	3122	3179	1175	10857	2590	744	1525	1556	517	353	911	1135	387	783	311	114	102	865	341	236	112	101	42	35	35	45	25	35	36	75	8	84	15	12	4	32	7	5	8	7	14	2	4	7	28	5	6	2	0	1	20	1	1	11	1	1	0	1	3	7	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south25_all	80	30277	13613	8635	5681	12216	4146	2404	2611	2287	1338	1079	1329	1455	724	991	565	400	352	909	453	352	225	195	133	102	119	114	78	73	66	84	59	100	26	35	24	39	32	12	17	13	27	7	11	9	25	8	11	3	3	7	15	1	3	8	1	3	0	1	3	7	3	3	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south25_active	80	9102	3163	3248	1197	11033	2608	736	1594	1621	527	360	926	1195	392	788	327	113	102	832	366	251	138	98	52	32	33	52	24	31	35	58	15	89	15	14	5	36	10	3	12	5	18	1	5	5	25	5	9	2	1	0	15	0	0	8	0	1	0	1	3	7	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south26_all	80	30255	13511	8631	5677	12210	4089	2353	2598	2321	1326	1088	1297	1467	702	947	556	378	321	879	442	352	229	179	144	104	112	115	82	74	54	90	49	92	26	33	30	50	30	11	18	18	28	9	14	12	26	6	14	4	6	4	7	2	5	8	0	1	4	2	5	9	3	3	0	2	0	0	0	0	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
0.03	south26_active	80	9114	3111	3265	1197	11027	2545	732	1629	1655	507	373	897	1227	374	737	311	104	87	803	336	251	150	85	50	32	29	49	25	31	28	65	13	81	10	13	4	45	10	2	17	10	19	1	6	5	24	3	12	2	1	1	7	0	1	6	0	0	3	2	4	8	0	3	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south27_all	80	30032	13523	8617	5745	12181	4057	2307	2524	2361	1301	1115	1243	1334	697	1006	532	394	313	842	423	361	248	157	152	114	102	117	79	68	54	103	46	67	31	31	38	48	22	15	16	16	28	12	12	13	19	6	22	7	5	4	5	4	4	5	0	3	4	2	3	6	5	4	0	2	1	1	0	0	0	0	0	2	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
0.03	south27_active	80	9039	3133	3292	1212	11019	2492	710	1602	1657	510	369	844	1089	379	798	297	102	73	775	332	267	158	65	44	34	25	44	21	27	28	81	15	57	16	11	6	42	9	2	14	6	21	3	5	4	17	2	20	2	2	1	5	1	2	2	0	1	3	2	1	5	0	3	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
