label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45
0.03	north6_all	80	4097	5627	1100	1461	414	410	234	157	113	126	87	51	60	42	29	16	12	14	7	5	9	6	1	2	8	11	2	0	1	2	0	0	1	1	0	0	0	0	0	1	1	0	0	0	0	0
0.03	north6_active	80	1832	3763	559	926	194	211	123	74	51	72	43	22	34	23	18	7	5	9	2	5	5	6	0	1	6	11	2	0	0	2	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0
0.03	north7_all	80	4142	5717	1089	1511	407	406	246	170	107	129	79	53	56	39	28	12	8	15	5	7	10	5	1	2	13	5	1	0	1	0	0	0	1	0	0	0	0	0	0	1	2	0	0	1	0	0
0.03	north7_active	80	1903	3826	558	942	178	207	131	80	48	71	38	24	33	24	18	5	4	8	2	4	4	5	1	1	11	5	1	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0
0.03	north8_all	80	4134	5746	1144	1563	385	400	253	180	131	120	92	48	54	36	26	8	10	16	5	11	5	3	1	2	11	2	2	0	1	1	0	0	2	0	0	0	0	0	1	1	2	0	0	1	0	0
0.03	north8_active	80	1954	3853	578	981	157	200	129	77	64	63	43	24	28	20	13	5	6	7	2	6	1	3	1	0	7	2	2	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0	0	0
0.03	north9_all	80	4134	5730	1128	1549	399	433	246	191	134	120	89	43	45	31	31	9	13	21	6	11	3	4	4	1	9	8	3	0	2	1	1	0	1	0	1	0	0	0	2	1	2	0	0	1	0	0
0.03	north9_active	80	1957	3809	551	960	155	235	126	97	65	62	50	20	20	16	17	6	7	14	2	6	1	2	3	0	5	8	2	0	0	0	1	0	0	0	1	0	0	0	2	0	1	0	0	0	0	0
0.03	north10_all	80	4149	5668	1125	1517	399	462	250	199	138	104	91	48	52	41	44	15	15	19	11	7	7	3	3	3	4	10	2	1	2	1	2	0	1	1	1	0	0	0	2	1	0	0	0	0	0	0
0.03	north10_active	80	1913	3743	558	920	159	263	119	103	69	57	56	19	27	20	28	7	8	13	5	4	5	1	2	1	1	8	1	0	0	0	1	0	0	1	1	0	0	0	2	0	0	0	0	0	0	0
0.03	north11_all	80	4346	5001	1014	1319	388	430	205	150	112	109	99	37	55	40	26	16	26	11	9	4	6	5	6	2	6	3	4	1	0	0	1	0	5	1	1	0	0	0	0	0	0	1	0	0	0	0
0.03	north11_active	80	1928	3311	512	828	187	240	92	70	53	60	56	18	26	20	18	5	10	4	2	3	5	3	3	1	3	0	3	1	0	0	1	0	4	1	0	0	0	0	0	0	0	1	0	0	0	0
0.03	north12_all	80	4312	5348	1057	1469	379	427	209	146	114	123	90	39	51	38	27	14	18	10	7	4	8	4	5	2	9	5	4	1	0	0	1	0	4	1	1	0	0	0	0	0	0	1	0	0	0	0
0.03	north12_active	80	1931	3482	531	928	169	241	88	81	54	67	43	15	26	20	15	6	6	6	1	3	5	2	3	1	6	4	3	1	0	0	1	0	4	1	0	0	0	0	0	0	0	1	0	0	0	0
0.03	north13_all	80	4290	5549	1053	1553	387	422	217	165	118	112	84	45	53	37	24	14	14	10	9	5	5	1	5	2	8	6	3	1	1	0	0	1	4	0	1	0	0	0	0	0	0	1	0	0	0	0
0.03	north13_active	80	1949	3602	518	1011	169	244	93	83	52	61	33	16	23	20	12	6	4	8	2	3	3	0	3	1	6	4	0	1	0	0	0	0	4	0	0	0	0	0	0	0	0	1	0	0	0	0
0.03	north14_all	80	4281	5376	1052	1615	399	405	217	167	112	116	93	53	53	39	23	11	18	15	12	4	9	1	4	2	5	10	2	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north14_active	80	1946	3509	512	1059	176	229	103	87	52	58	46	20	28	23	10	4	6	15	5	2	4	1	1	1	5	6	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north15_all	80	4282	5386	1045	1600	406	391	221	169	105	123	89	57	53	42	24	12	21	20	14	7	8	3	3	0	4	7	3	0	4	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north15_active	80	1951	3588	540	1046	192	232	110	84	48	65	43	22	30	24	10	5	9	15	7	3	4	2	1	0	4	3	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north16_all	80	4259	5453	1048	1564	414	374	226	156	115	116	109	53	61	46	31	13	22	20	13	9	13	4	3	0	2	8	1	0	3	2	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0
0.03	north16_active	80	1946	3690	528	1039	192	213	112	86	54	70	63	26	29	27	14	5	10	14	7	3	7	2	1	0	2	3	1	0	1	2	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0
0.03	north17_all	80	4243	5459	1084	1513	404	403	226	155	107	104	94	45	53	46	31	18	22	17	11	9	11	5	3	2	5	4	2	2	2	2	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0
0.03	north17_active	80	1933	3671	551	998	187	239	104	79	47	56	60	21	22	24	12	9	7	10	6	3	6	2	2	2	3	2	2	0	0	2	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0
0.03	north18_all	80	4192	5544	1102	1533	393	406	234	162	105	99	97	44	54	45	27	19	18	14	11	5	12	3	4	3	5	2	2	2	0	2	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0
0.03	north18_active	80	1891	3670	551	1001	176	232	117	83	51	56	64	17	20	19	13	10	6	6	6	2	6	1	4	3	3	1	2	0	0	2	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0
0.03	north19_all	80	4221	5636	1067	1607	385	457	221	173	112	103	101	54	61	42	21	23	19	12	9	7	8	3	5	3	4	5	2	3	0	2	0	2	0	0	1	2	0	0	0	0	0	0	0	0	0	0
0.03	north19_active	80	1930	3651	537	1034	174	277	114	84	51	54	64	20	27	20	11	13	5	8	6	4	2	1	5	3	2	4	2	1	0	2	0	2	0	0	1	2	0	0	0	0	0	0	0	0	0	0
0.03	north20_all	80	4267	5780	1078	1627	392	462	218	189	112	108	105	53	59	39	28	20	15	11	9	9	7	4	5	5	0	7	2	2	0	2	0	2	0	0	1	2	0	0	0	0	0	0	0	0	0	0
0.03	north20_active	80	1938	3808	557	1030	172	268	115	92	52	55	63	18	28	19	16	12	5	7	7	5	2	2	5	3	0	6	1	1	0	2	0	2	0	0	1	2	0	0	0	0	0	0	0	0	0	0
