label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40
0.03	south36_all	80	1376	471	282	161	108	88	83	49	39	25	44	12	9	9	15	3	12	102	1	0	2	2	0	8	11	33	1	0	0	4	1	0	0	0	0	0	0	0	0	0	0
0.03	south36_active	80	740	109	69	66	24	44	56	11	16	11	40	6	3	4	13	2	9	100	0	0	2	2	0	8	11	32	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0
0.03	south37_all	80	1362	468	285	165	99	91	79	52	37	22	46	11	8	10	13	4	7	73	1	0	4	2	4	2	10	0	1	0	0	4	0	0	0	0	0	0	0	0	0	0	0
0.03	south37_active	80	705	97	65	64	23	36	52	11	14	9	41	5	4	4	9	2	6	71	0	0	3	2	4	2	9	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0
0.03	south38_all	80	1348	473	257	182	108	82	90	48	33	23	27	13	7	6	11	3	9	76	2	2	10	2	9	3	5	1	0	0	3	4	0	0	0	0	0	0	0	0	0	0	0
0.03	south38_active	80	651	88	60	62	25	26	53	8	13	8	21	5	3	2	9	0	7	73	0	1	8	2	9	3	4	1	0	0	3	4	0	0	0	0	0	0	0	0	0	0	0
0.03	south39_all	80	1285	479	258	192	97	65	84	45	29	28	32	16	14	5	11	5	13	36	2	3	12	4	9	1	1	1	0	1	4	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south39_active	80	579	93	58	52	24	14	45	6	13	6	21	6	5	1	9	0	10	34	0	2	10	1	9	1	0	1	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south40_all	80	1304	469	265	179	107	53	83	40	27	35	25	18	16	5	11	4	14	32	3	5	12	4	5	1	0	1	0	1	4	1	0	0	0	0	0	0	0	0	0	0	0
0.03	south40_active	80	594	96	62	48	24	17	43	6	11	8	13	6	4	1	10	0	12	29	0	2	10	1	5	1	0	1	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0
