label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36
0.03	north8_active	80	1378	515	569	196	76	122	95	154	30	20	26	14	41	18	18	5	3	1	1	3	3	1	2	0	0	0	0	0	1	0	2	0	3	0	0	0	0
0.03	north9_all	80	2598	1035	970	390	187	225	173	226	68	43	47	20	75	36	32	10	7	3	2	4	3	3	1	1	0	1	0	0	1	0	3	0	3	0	0	0	1
0.03	north9_active	80	1380	550	611	204	92	128	98	161	37	22	26	13	44	21	16	8	3	2	1	1	2	2	1	0	0	0	0	0	1	0	2	0	3	0	0	0	0
0.03	north10_all	80	2645	1000	977	392	186	251	180	254	77	41	40	24	96	31	35	11	11	4	5	4	1	3	1	6	0	1	0	0	1	0	0	0	3	0	0	0	1
0.03	north10_active	80	1444	521	606	199	100	144	98	176	49	21	26	13	61	21	21	11	4	2	3	1	1	2	1	5	0	0	0	0	1	0	0	0	3	0	0	0	0
0.03	north11_all	80	2546	935	884	406	187	217	159	208	64	47	57	22	41	36	31	9	4	3	3	3	2	0	3	0	0	2	0	1	3	0	0	0	0	0	0	0	0
0.03	north11_active	80	1325	473	566	236	88	144	84	133	37	18	25	12	22	20	25	7	1	1	1	2	2	0	1	0	0	2	0	0	3	0	0	0	0	0	0	0	0
0.03	north12_all	80	2498	960	825	406	175	194	158	174	63	44	37	20	41	32	18	10	6	5	2	5	0	0	3	0	0	2	0	0	4	0	0	0	0	0	0	0	0
0.03	north12_active	80	1314	478	506	236	75	130	93	107	36	17	23	11	24	20	12	8	1	3	1	3	0	0	1	0	0	2	0	0	3	0	0	0	0	0	0	0	0
0.03	north13_all	80	2449	934	796	390	181	208	148	182	54	35	34	17	35	36	21	9	9	5	4	4	0	2	1	0	0	1	0	0	4	0	0	0	0	0	0	0	0
0.03	north13_active	80	1259	483	484	223	75	145	90	127	26	20	19	9	16	26	8	7	4	3	2	2	0	0	0	0	0	1	0	0	3	0	0	0	0	0	0	0	0
0.03	north14_all	80	2423	935	846	382	196	218	138	188	60	32	45	18	31	20	27	9	8	5	4	4	0	2	0	0	1	1	1	0	1	0	0	0	0	0	0	0	0
0.03	north14_active	80	1249	494	507	208	89	143	83	134	28	16	31	8	15	13	15	7	4	3	2	2	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0
0.03	north15_all	80	2423	938	903	359	201	223	127	216	59	35	48	22	55	15	27	9	7	4	4	3	0	2	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0
0.03	north15_active	80	1298	483	554	196	96	145	69	150	31	20	26	10	26	11	17	7	5	2	1	3	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
