label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47	Otu48	Otu49	Otu50	Otu51	Otu52	Otu53	Otu54	Otu55	Otu56	Otu57	Otu58	Otu59
0.03	south30_all	80	27940	12938	9248	6617	6702	5053	1652	1138	914	861	794	772	283	277	181	178	142	124	102	81	37	53	73	62	24	27	21	19	10	7	9	4	4	2	6	2	3	1	2	2	0	1	1	1	0	0	1	2	0	0	0	0	1	0	0	0	0	0	0	0
0.03	south30_active	80	12256	6159	4893	3632	4142	3101	757	557	422	442	472	478	119	127	78	97	75	68	51	42	20	27	39	46	12	20	11	10	5	4	4	4	1	1	4	2	3	0	2	0	0	1	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south31_all	80	28939	14041	10274	7547	7860	5980	1652	1126	1028	1009	902	1043	331	256	215	215	158	142	79	117	50	63	120	59	25	28	46	31	12	11	20	6	9	8	0	2	1	3	1	2	5	0	5	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south31_active	80	13241	6914	5652	4402	4836	3880	842	500	514	573	538	607	144	113	97	129	86	82	50	67	29	39	72	35	12	19	29	14	4	6	17	5	8	5	0	0	0	2	0	1	5	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south32_all	80	28872	14004	10101	7470	7883	6141	1640	1113	1012	999	890	997	331	250	215	218	162	144	95	107	42	51	111	50	34	26	45	33	9	10	19	6	10	6	2	2	2	4	1	2	7	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south32_active	80	13203	6923	5632	4384	4847	4025	837	485	509	552	525	595	145	106	99	127	94	82	60	58	23	26	58	36	21	19	30	15	4	5	17	5	8	4	1	0	1	2	0	1	7	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south33_all	80	28919	14131	10183	7514	7763	6180	1666	1075	1047	1009	871	978	337	269	212	235	159	159	96	96	40	65	85	52	43	22	38	31	9	14	20	12	15	7	3	2	2	4	2	1	2	0	0	2	1	0	0	0	0	7	0	0	0	0	0	0	1	0	0	0
0.03	south33_active	80	13144	6989	5735	4416	4872	4079	850	484	523	550	537	571	150	123	95	135	82	88	53	51	20	37	50	36	24	15	28	15	4	9	18	9	11	4	1	0	1	2	2	1	2	0	0	1	1	0	0	0	0	7	0	0	0	0	0	0	1	0	0	0
0.03	south34_all	80	29033	14088	10288	7305	7768	6194	1715	1063	1014	975	913	944	307	248	224	223	163	162	98	85	43	55	92	88	45	22	26	24	14	14	9	13	9	6	3	2	2	4	2	0	2	1	1	1	1	0	0	0	0	7	0	0	0	0	0	0	1	0	0	0
0.03	south34_active	80	13350	7056	5803	4213	4909	4017	849	485	529	535	572	572	134	126	109	138	95	82	49	38	26	31	50	71	25	18	19	12	8	9	3	7	5	4	1	1	1	3	2	0	2	0	1	1	1	0	0	0	0	7	0	0	0	0	0	0	1	0	0	0
0.03	south35_all	80	28987	14223	10472	7353	7826	6139	1752	1056	987	952	866	916	309	254	197	224	160	154	87	82	52	66	88	77	39	28	23	18	16	13	11	13	13	5	4	2	3	2	2	0	0	1	1	0	1	0	0	0	0	7	0	0	0	0	0	0	1	0	0	0
0.03	south35_active	80	13434	7150	5823	4291	4998	3934	843	485	503	505	521	554	135	137	95	136	94	84	38	34	31	43	54	58	19	16	14	9	7	9	2	7	8	1	2	1	1	1	2	0	0	0	1	0	1	0	0	0	0	7	0	0	0	0	0	0	1	0	0	0
0.03	south36_all	80	29074	14301	10448	7226	7835	6113	1736	1088	1004	985	942	954	298	255	200	206	150	171	81	99	58	67	93	82	27	31	18	13	13	8	9	12	15	7	3	6	4	1	0	0	0	1	1	0	1	1	2	0	0	7	0	0	0	0	0	0	0	0	0	0
0.03	south36_active	80	13375	7095	5768	4222	5000	3883	839	497	529	545	531	598	121	135	96	113	90	98	34	55	32	45	53	64	11	21	12	9	5	4	0	8	12	3	1	3	2	1	0	0	0	0	1	0	1	0	2	0	0	7	0	0	0	0	0	0	0	0	0	0
0.03	south37_all	80	29020	14380	10353	7139	7756	5907	1786	1070	1011	975	898	972	302	266	200	201	157	153	81	100	52	66	97	45	22	38	23	11	7	7	20	10	11	8	3	8	8	0	3	0	0	3	0	3	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south37_active	80	13271	7096	5744	4172	4957	3786	867	494	525	554	496	638	127	136	91	101	93	93	38	63	24	38	50	31	13	17	13	6	0	1	8	8	8	3	1	3	7	0	3	0	0	2	0	3	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south38_all	80	28976	14028	10012	6946	7572	5680	1778	1081	973	962	887	1027	287	272	204	203	137	138	79	106	47	58	89	64	31	36	18	16	9	9	17	8	10	9	4	6	7	0	5	0	1	3	0	3	0	1	2	0	1	0	0	0	0	0	0	0	0	0	0	0
0.03	south38_active	80	13062	6925	5574	3972	4886	3526	874	494	489	561	504	666	124	132	88	97	76	82	31	64	18	34	57	49	17	16	10	9	2	4	8	7	7	5	1	2	7	0	5	0	0	2	0	3	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0
0.03	south39_all	80	28627	13752	9763	6846	7283	5442	1709	1125	951	908	832	1000	281	255	189	193	137	127	73	95	38	53	84	60	33	28	20	23	8	8	14	9	9	5	4	3	6	0	5	0	1	3	1	5	0	1	2	0	1	0	1	0	0	0	0	0	0	0	0	0
0.03	south39_active	80	12860	6761	5401	3898	4611	3376	836	531	480	510	508	646	123	113	80	96	75	78	28	60	16	29	57	43	17	9	11	12	2	4	8	4	5	3	2	1	6	0	5	0	0	2	0	5	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0
0.03	south40_all	80	28564	13579	9692	6999	7359	5395	1681	1166	937	857	848	961	312	276	188	212	147	133	75	90	37	55	77	62	31	34	20	31	10	8	12	7	11	5	7	1	3	0	2	1	1	4	1	5	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0
0.03	south40_active	80	12913	6666	5326	4010	4637	3295	803	547	467	475	534	616	140	127	77	119	79	79	31	57	15	28	47	39	12	18	11	18	2	4	2	2	3	3	3	0	3	0	2	1	0	3	0	5	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
