label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47	Otu48	Otu49	Otu50	Otu51	Otu52	Otu53
0.03	north6_all	80	5636	5707	1057	1069	490	371	380	498	156	133	236	131	49	54	46	23	24	17	15	24	13	13	18	8	3	5	2	3	3	4	1	6	2	2	2	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north6_active	80	2998	3691	492	612	223	172	207	322	77	61	173	85	22	24	24	9	12	7	7	13	10	10	7	4	2	1	2	1	1	2	1	6	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north7_all	80	5643	5820	1037	1049	499	400	356	479	155	141	242	136	45	58	39	23	18	18	13	31	10	13	11	7	3	7	2	1	4	4	0	4	1	1	0	1	0	0	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0
0.03	north7_active	80	3052	3809	479	591	218	180	187	290	69	71	168	90	22	28	23	10	7	6	4	17	7	12	5	4	2	3	1	1	2	3	0	4	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
0.03	north8_all	80	5686	5811	1095	1077	505	386	335	487	162	149	244	132	49	51	45	35	24	16	17	34	11	16	11	4	5	7	2	1	7	4	1	2	1	1	0	1	0	0	0	1	4	0	0	0	1	1	0	1	0	0	0	0	0	0
0.03	north8_active	80	3068	3794	516	620	234	179	174	323	72	71	167	85	27	28	22	19	9	7	7	25	5	13	6	1	3	6	1	1	7	3	1	2	0	1	0	0	0	0	0	0	4	0	0	0	0	0	0	1	0	0	0	0	0	0
0.03	north9_all	80	5692	5957	1103	1043	497	372	336	483	184	152	273	110	55	49	39	43	29	17	17	39	19	21	5	5	6	11	2	0	7	3	1	2	0	0	0	1	1	0	1	2	4	0	0	0	1	1	0	1	0	0	0	0	0	0
0.03	north9_active	80	3062	3908	507	600	236	177	179	326	92	71	182	67	30	29	23	28	12	8	7	27	8	14	3	2	2	8	0	0	7	3	1	2	0	0	0	0	1	0	0	0	4	0	0	0	0	0	0	1	0	0	0	0	0	0
0.03	north10_all	80	5740	5736	1102	1093	481	376	336	505	172	138	247	100	58	51	37	48	30	17	17	39	18	33	8	4	8	9	1	2	9	1	3	1	5	1	0	1	1	1	1	1	4	0	0	0	1	1	0	1	0	0	0	0	0	0
0.03	north10_active	80	3077	3713	523	631	223	185	186	367	81	71	155	54	27	29	20	27	14	10	7	26	6	23	4	1	2	7	0	0	8	1	2	1	4	1	0	0	1	0	0	0	4	0	0	0	0	0	0	1	0	0	0	0	0	0
0.03	north11_all	80	5758	5863	990	1181	442	373	401	430	175	109	212	90	57	60	49	21	22	25	27	24	15	30	23	7	9	5	7	4	5	2	4	3	6	1	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
0.03	north11_active	80	3057	3830	444	686	204	192	237	256	99	46	119	48	31	32	24	11	10	10	17	12	14	22	6	3	2	2	1	4	1	0	2	2	6	1	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
0.03	north12_all	80	5815	5880	1012	1192	455	364	375	457	172	110	254	86	54	60	47	21	22	22	29	25	15	26	24	10	9	5	5	4	5	1	4	1	3	0	0	0	2	0	1	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0
0.03	north12_active	80	3119	3809	452	680	209	184	220	281	88	42	159	48	27	30	23	12	10	7	20	14	14	20	8	4	3	2	1	4	1	0	2	0	3	0	0	0	2	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0
0.03	north13_all	80	5730	5755	1031	1175	470	363	360	497	185	129	244	97	55	48	46	26	24	21	30	31	13	25	18	11	4	11	6	3	6	3	5	1	6	0	0	0	3	0	1	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0
0.03	north13_active	80	3112	3712	446	659	222	165	203	327	104	53	151	58	23	30	23	17	13	7	22	21	11	20	6	4	1	8	2	3	3	2	3	0	6	0	0	0	3	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0
0.03	north14_all	80	5637	5727	1029	1158	496	361	349	495	176	122	235	92	60	49	41	30	24	17	22	32	18	13	14	11	4	10	6	5	4	4	5	1	3	0	0	0	3	0	1	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0
0.03	north14_active	80	3127	3694	447	660	219	161	190	323	93	55	143	51	30	28	18	20	14	4	15	22	15	11	9	4	1	7	2	4	2	2	3	0	3	0	0	0	3	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north15_all	80	5666	5681	995	1190	486	395	338	510	186	134	248	93	49	48	39	32	27	15	17	33	18	15	14	9	6	8	6	5	4	5	4	0	6	0	0	0	3	0	1	0	3	0	0	0	0	0	0	1	0	0	0	0	0	0
0.03	north15_active	80	3146	3714	428	709	212	173	190	339	106	58	156	50	27	28	17	18	16	5	9	19	13	12	8	3	3	7	2	2	2	2	3	0	4	0	0	0	3	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0
