label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42
0.03	north10_all	80	17471	6776	2645	3668	1172	741	1052	536	407	447	183	104	85	60	38	29	24	18	25	8	11	3	10	4	7	1	2	1	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north10_active	80	11931	4519	978	3078	546	224	872	392	314	378	135	44	28	20	13	8	10	5	19	4	4	2	6	0	7	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north11_all	80	19326	7531	2855	4313	1186	731	1296	636	455	481	242	107	88	56	46	36	19	21	47	13	6	10	11	7	8	2	4	1	2	5	2	2	0	0	0	0	0	1	0	0	0	0	0
0.03	north11_active	80	14194	5362	1148	3754	633	243	1136	508	369	409	177	59	45	23	14	4	7	10	42	5	2	3	8	3	8	1	0	0	2	4	2	1	0	0	0	0	0	1	0	0	0	0	0
0.03	north12_all	80	19633	7637	2816	4389	1200	720	1280	604	478	491	281	114	82	58	42	41	24	29	50	15	8	12	10	6	8	4	2	1	0	2	2	3	0	0	0	0	0	1	0	0	0	0	0
0.03	north12_active	80	14404	5519	1109	3838	650	231	1126	478	384	408	223	55	40	26	14	6	8	16	44	4	2	5	8	1	8	1	0	0	0	1	2	2	0	0	0	0	0	1	0	0	0	0	0
0.03	north13_all	80	19469	7648	2790	4490	1199	732	1340	583	450	530	243	98	80	65	39	33	26	37	41	14	14	8	6	5	16	2	1	0	1	8	1	3	3	0	0	0	0	1	0	0	0	0	0
0.03	north13_active	80	14314	5518	1097	3918	646	259	1173	454	359	457	197	43	36	30	14	3	12	20	34	4	4	4	4	0	16	0	0	0	0	7	1	2	2	0	0	0	0	1	0	0	0	0	0
0.03	north14_all	80	19428	7634	2681	4415	1220	706	1334	588	464	523	246	98	73	53	34	40	25	34	33	13	13	8	5	4	14	3	1	0	2	8	2	3	3	0	0	0	0	0	0	0	0	0	0
0.03	north14_active	80	14266	5511	1076	3809	670	233	1151	450	365	452	210	44	30	26	16	9	14	18	28	4	4	5	4	0	14	1	0	0	1	7	2	1	2	0	0	0	0	0	0	0	0	0	0
0.03	north15_all	80	19486	7687	2727	4393	1229	693	1299	584	436	498	193	110	71	58	32	37	28	25	36	9	11	4	3	3	14	2	1	0	3	7	1	1	3	0	0	0	0	0	0	0	0	0	0
