label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47	Otu48	Otu49	Otu50	Otu51	Otu52	Otu53	Otu54	Otu55	Otu56	Otu57	Otu58	Otu59	Otu60	Otu61	Otu62	Otu63	Otu64	Otu65	Otu66	Otu67	Otu68	Otu69	Otu70	Otu71	Otu72	Otu73	Otu74	Otu75	Otu76	Otu77	Otu78	Otu79
0.03	north17_active	80	2750	1432	420	744	819	1361	221	683	83	180	381	100	120	30	139	56	100	85	16	11	83	16	53	11	3	4	19	7	6	10	36	14	25	1	4	4	4	2	5	1	0	1	0	1	0	0	0	0	0	3	3	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north18_all	80	6466	3030	1693	1319	1124	1471	510	784	308	293	461	184	173	103	170	111	101	131	37	43	80	42	68	30	25	25	23	19	13	23	23	18	29	5	7	8	8	3	10	2	1	2	2	3	1	0	0	0	1	2	0	5	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0
0.03	north18_active	80	2722	1397	412	718	735	1237	205	636	76	173	375	82	98	25	114	62	69	106	14	12	65	15	58	5	4	5	19	12	5	17	20	10	25	3	4	2	6	1	7	1	0	0	0	0	1	0	0	0	0	2	0	5	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
0.03	north19_all	80	6466	2951	1740	1283	1167	1487	494	799	300	294	460	183	151	107	170	87	97	136	44	38	84	35	71	27	20	21	30	18	17	23	19	19	45	4	7	9	8	3	8	4	3	2	1	2	1	1	1	2	1	2	0	5	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0
0.03	north19_active	80	2700	1344	425	688	798	1268	202	657	81	158	377	80	89	23	122	46	65	114	17	7	67	10	62	3	3	5	24	11	4	20	14	13	40	3	2	3	6	1	5	3	1	0	0	0	1	1	0	1	0	2	0	5	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
0.03	north20_all	80	6641	3076	1702	1330	1237	1657	525	899	295	321	581	200	190	102	151	91	98	160	51	41	99	34	90	28	20	23	34	17	14	29	18	12	44	4	8	7	5	6	6	4	4	1	0	0	1	1	1	2	0	1	0	5	0	0	2	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
0.03	north20_active	80	2967	1455	409	770	856	1435	228	765	86	173	512	86	130	17	112	52	67	140	17	11	87	10	81	6	3	5	29	9	1	26	15	11	38	2	3	3	5	3	4	3	3	0	0	0	1	1	0	1	0	1	0	5	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
0.03	south21_all	80	6965	3320	1687	1453	1534	2079	596	1086	321	368	704	227	210	125	191	115	170	204	59	38	109	36	71	34	19	14	36	15	14	33	31	7	43	3	11	11	8	5	4	8	5	2	2	5	1	3	1	1	2	4	1	1	0	1	1	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south21_active	80	3634	1856	353	866	1189	1905	299	939	123	232	638	130	141	34	144	81	134	166	25	19	97	15	60	16	4	4	31	7	5	28	29	4	39	1	8	5	5	0	3	8	1	2	0	1	1	0	1	1	2	3	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south22_all	80	6983	3325	1718	1469	1537	2074	565	1133	351	358	682	214	207	128	185	128	134	217	44	48	102	47	77	28	22	17	46	12	16	29	37	11	42	7	12	13	12	4	6	6	5	1	2	4	4	2	0	1	2	6	2	2	0	1	0	1	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
