label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47	Otu48	Otu49	Otu50	Otu51	Otu52	Otu53	Otu54	Otu55	Otu56	Otu57	Otu58	Otu59	Otu60	Otu61	Otu62	Otu63	Otu64	Otu65	Otu66	Otu67	Otu68	Otu69	Otu70	Otu71	Otu72	Otu73	Otu74	Otu75	Otu76	Otu77	Otu78	Otu79	Otu80	Otu81	Otu82	Otu83	Otu84
0.03	south24_all	80	6078	2601	1510	1141	849	740	440	453	365	288	213	176	191	124	100	103	112	105	66	53	37	39	42	30	38	24	24	27	25	16	34	9	14	11	8	8	5	8	4	6	8	2	5	7	1	0	7	4	3	1	0	2	0	3	0	0	1	1	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south24_active	80	3007	1027	443	518	291	456	153	288	204	143	81	73	97	60	36	42	66	64	34	19	18	22	24	13	19	8	10	18	16	8	29	2	8	9	4	4	2	2	1	4	5	0	2	3	1	0	4	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south25_all	80	5970	2570	1500	1115	832	743	430	467	376	282	228	201	197	144	103	99	111	112	82	52	45	40	46	34	32	30	22	28	20	15	35	10	24	8	10	8	6	10	6	4	8	3	7	5	3	2	6	4	5	1	0	2	2	4	0	1	4	1	1	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0
0.03	south25_active	80	2938	1040	424	514	292	439	154	311	217	135	83	81	99	63	33	50	65	73	41	20	24	21	25	20	12	14	6	16	15	8	29	4	16	6	4	3	2	6	2	1	5	0	3	2	1	0	3	0	1	0	0	0	2	2	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
0.03	south26_all	80	5923	2560	1460	1145	784	752	432	476	362	275	221	209	195	145	99	101	117	113	93	54	43	35	48	43	24	33	34	35	14	13	27	11	25	10	12	7	9	10	3	4	7	4	8	2	3	4	3	1	3	1	0	3	2	3	0	1	3	1	2	0	0	1	0	0	1	0	0	1	0	0	0	1	0	0	0	1	0	1	0	0	1	0	0	0	0
0.03	south26_active	80	2933	1063	426	542	282	444	154	322	211	120	70	87	103	59	30	53	65	72	46	23	22	16	27	29	8	14	21	25	10	5	23	2	19	6	5	1	3	5	1	0	3	0	4	1	1	0	2	0	1	0	0	0	2	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0
0.03	south27_all	80	5852	2571	1428	1145	769	726	444	500	365	272	225	212	186	151	113	104	119	114	91	56	39	34	48	42	27	29	34	32	14	20	19	13	23	9	13	3	12	9	3	5	9	6	6	2	3	4	3	1	3	1	1	4	2	1	2	1	3	0	1	2	0	1	0	0	1	0	0	2	0	0	0	1	0	0	0	1	0	1	0	0	1	0	0	0	0
0.03	south27_active	80	2955	1037	406	536	295	428	152	338	201	136	72	82	95	66	34	58	64	68	44	19	16	10	29	28	11	13	21	21	11	7	16	6	17	5	6	0	7	5	1	2	6	0	4	1	1	0	1	0	1	0	1	3	2	0	1	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0
0.03	south28_all	80	6006	2531	1394	1167	756	739	470	539	364	270	226	183	178	155	116	104	111	104	87	63	42	38	44	45	27	25	31	34	8	22	13	18	16	11	13	4	12	8	3	5	8	7	2	2	2	2	2	1	2	1	2	7	1	1	3	1	1	0	1	2	0	1	0	0	0	0	0	1	0	0	0	1	0	1	0	0	0	1	1	0	1	0	0	0	0
0.03	south28_active	80	3051	1007	405	552	277	447	157	369	211	139	80	65	92	66	38	58	59	66	40	25	15	15	30	29	10	12	22	26	6	10	9	11	11	5	6	3	8	3	1	3	5	1	2	1	1	0	1	0	1	0	2	6	0	1	1	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	1	0	0	0	0
0.03	south29_all	80	6081	2471	1404	1186	787	732	473	515	371	271	210	168	166	149	115	115	103	93	82	63	42	40	49	39	34	24	29	26	15	23	16	22	19	14	14	9	10	10	2	4	6	7	2	2	1	1	2	1	0	1	3	7	1	1	4	0	1	0	2	2	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	1	1	1	0	0	0	0	0	0
0.03	south29_active	80	3135	943	414	554	280	440	160	352	221	144	82	55	66	63	39	66	61	59	39	20	15	12	32	23	13	11	16	20	10	12	9	14	13	8	5	6	8	5	1	3	4	2	1	1	0	0	1	0	0	0	3	6	0	1	1	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	1	0	0	0	0	0	0
0.03	south30_all	80	6129	2439	1397	1182	827	741	479	517	379	281	221	161	156	162	119	123	96	87	78	65	48	37	50	46	28	19	24	22	22	20	21	25	22	10	18	11	8	10	3	3	2	6	1	4	1	1	2	0	1	1	5	5	1	2	2	1	1	1	1	2	2	0	1	0	0	0	0	1	0	0	0	0	0	1	0	0	2	0	1	0	0	0	0	0	0
0.03	south30_active	80	3159	929	383	565	301	453	166	358	238	152	82	52	63	69	34	69	52	61	43	19	18	14	31	32	10	7	7	17	15	13	13	15	17	7	9	6	6	5	1	1	2	2	0	3	0	0	1	0	1	0	4	3	0	1	0	1	1	0	0	2	2	0	1	0	0	0	0	1	0	0	0	0	0	1	0	0	2	0	1	0	0	0	0	0	0
0.03	south31_all	80	6143	2596	1464	1198	793	728	471	514	363	300	212	177	169	170	109	82	108	97	84	54	36	51	38	34	38	30	25	21	23	15	17	18	21	25	15	8	6	3	7	10	7	7	8	4	1	7	4	3	1	1	0	7	2	2	0	1	0	2	1	1	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south31_active	80	3023	1000	421	562	303	441	157	332	205	134	79	60	80	79	34	27	64	56	51	20	15	14	25	20	20	11	9	15	16	2	13	7	14	18	9	3	3	0	3	6	2	2	4	2	0	3	3	3	0	0	0	3	2	2	0	0	0	0	1	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south32_all	80	6012	2556	1498	1156	788	754	473	515	335	284	213	179	186	151	121	83	93	92	78	56	41	47	37	38	34	25	23	24	19	13	22	18	18	24	14	11	9	6	8	10	3	7	7	6	2	2	4	4	2	2	0	4	1	1	1	1	0	2	0	1	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south32_active	80	2865	903	472	533	293	452	148	338	183	121	71	62	85	69	37	33	53	53	45	14	19	13	21	26	15	12	7	16	14	2	14	8	14	16	9	3	5	2	3	4	1	1	4	3	0	0	3	4	0	0	0	1	1	1	1	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south33_all	80	5867	2555	1519	1144	743	763	468	519	337	283	215	173	185	153	113	93	89	87	63	53	41	49	42	31	30	26	20	23	16	17	12	15	23	19	9	9	7	10	8	8	4	6	3	6	4	1	2	4	2	2	2	3	1	2	1	0	0	1	0	1	3	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south33_active	80	2737	904	497	513	245	448	135	330	175	129	64	58	84	70	29	42	53	49	33	16	17	16	30	22	12	12	3	13	8	4	6	6	13	10	7	2	4	3	4	3	0	1	1	3	0	0	1	4	0	0	1	1	1	1	1	0	0	0	0	1	3	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south34_all	80	5896	2494	1511	1136	742	768	488	511	339	270	209	176	187	160	119	105	97	76	62	52	42	50	43	39	21	27	20	23	17	18	9	11	29	16	9	11	11	9	9	9	3	5	4	8	5	1	0	2	2	2	5	2	1	2	1	1	0	1	0	0	3	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south34_active	80	2826	897	478	530	257	452	148	339	188	124	78	55	84	69	28	53	60	43	31	20	18	21	27	27	8	12	6	14	9	6	2	3	20	8	7	2	6	3	3	6	1	0	2	4	0	0	0	2	0	0	4	1	1	1	1	1	0	0	0	0	3	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
