label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47	Otu48	Otu49	Otu50	Otu51	Otu52	Otu53	Otu54	Otu55	Otu56	Otu57	Otu58	Otu59	Otu60	Otu61	Otu62	Otu63	Otu64	Otu65	Otu66	Otu67	Otu68	Otu69	Otu70	Otu71	Otu72	Otu73	Otu74	Otu75	Otu76	Otu77	Otu78	Otu79	Otu80	Otu81	Otu82	Otu83	Otu84	Otu85	Otu86	Otu87	Otu88	Otu89	Otu90	Otu91	Otu92	Otu93	Otu94	Otu95
0.03	south22_active	80	2212	1129	876	793	471	403	199	257	177	126	94	76	60	88	55	57	66	35	28	17	27	19	33	13	19	15	5	24	15	7	8	6	8	3	2	1	4	5	7	2	3	2	3	7	2	2	1	2	0	2	0	0	0	4	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south23_all	80	5099	2546	1807	1417	947	798	494	491	367	291	206	156	137	155	107	108	113	78	78	49	57	47	60	36	37	28	15	38	28	26	14	14	8	12	15	7	7	9	10	9	1	6	7	9	4	2	1	3	3	2	0	2	0	3	2	1	0	2	1	1	0	0	1	2	0	1	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
0.03	south23_active	80	2200	1150	942	759	489	446	196	238	186	119	95	70	48	87	43	55	65	34	36	12	32	25	29	17	18	13	4	23	15	8	9	5	5	6	6	4	4	6	6	5	0	2	3	7	1	1	0	2	2	1	0	0	0	3	0	0	0	1	1	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south24_all	80	5171	2582	1734	1388	954	823	509	478	361	296	188	179	135	157	119	108	110	70	95	58	62	40	56	36	30	31	18	32	33	21	15	16	11	9	13	9	3	11	8	8	2	4	7	4	4	3	1	4	2	1	1	4	0	0	2	0	0	2	2	0	0	1	1	2	0	2	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
0.03	south24_active	80	2243	1199	884	775	475	467	199	224	181	127	85	81	54	89	51	52	59	31	50	16	34	22	30	21	14	13	4	16	17	8	10	5	4	5	6	6	0	8	6	5	0	2	2	2	1	1	0	3	2	0	0	1	0	0	0	0	0	2	2	0	0	1	0	1	0	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south25_all	80	5105	2584	1774	1359	915	804	482	467	358	304	175	183	130	145	105	98	114	68	110	59	60	44	49	37	29	24	22	21	26	13	20	17	12	14	15	8	3	8	6	6	3	4	6	1	6	3	1	2	5	1	1	3	0	0	2	0	0	1	2	0	0	1	0	3	1	1	0	2	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
0.03	south25_active	80	2234	1180	915	755	435	459	198	229	177	136	78	77	58	81	47	47	61	31	64	14	29	23	20	22	12	10	8	10	13	4	13	4	0	8	7	5	1	5	3	4	0	1	1	0	2	2	0	1	5	0	0	1	0	0	0	0	0	1	2	0	0	1	0	2	0	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south26_all	80	5213	2528	1732	1383	888	746	462	480	346	285	172	178	136	136	106	102	111	67	98	54	69	48	44	35	29	22	21	22	26	14	17	15	13	12	8	13	8	7	4	3	5	5	5	2	5	4	1	2	5	1	3	2	1	2	2	0	0	1	1	0	0	1	1	2	1	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0
0.03	south26_active	80	2293	1154	860	761	396	390	196	252	177	148	74	74	58	78	45	48	52	30	56	17	33	25	18	22	14	8	6	10	8	6	10	4	0	7	5	9	2	4	2	1	1	2	1	1	2	2	0	2	5	0	1	1	0	0	0	0	0	1	1	0	0	1	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south27_all	80	5194	2536	1736	1410	886	727	415	493	346	296	190	171	139	133	111	82	115	70	76	52	54	52	43	38	35	21	18	21	27	18	13	14	17	8	10	8	7	7	6	3	6	5	5	2	7	4	1	1	3	1	2	1	1	2	1	0	0	1	1	0	0	0	1	1	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1
