label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47	Otu48	Otu49	Otu50	Otu51	Otu52	Otu53	Otu54	Otu55	Otu56	Otu57	Otu58	Otu59	Otu60	Otu61	Otu62	Otu63	Otu64	Otu65	Otu66	Otu67	Otu68	Otu69	Otu70	Otu71	Otu72	Otu73	Otu74	Otu75	Otu76	Otu77	Otu78	Otu79	Otu80	Otu81	Otu82
0.03	south35_all	80	7894	2848	2238	1207	887	737	1037	836	348	269	351	194	164	148	191	80	95	87	53	53	50	45	33	26	28	30	17	20	6	8	23	14	15	9	10	6	8	18	2	8	5	1	1	2	1	4	3	1	6	1	1	1	1	0	2	0	0	2	1	0	0	0	0	1	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0
0.03	south35_active	80	4664	930	1384	332	347	341	827	674	175	77	271	82	72	66	146	39	63	49	10	12	17	19	9	5	7	8	9	9	2	2	17	5	3	5	4	2	3	15	0	6	1	0	1	2	0	0	2	1	1	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0
0.03	south36_all	80	8611	2869	2447	1211	926	744	1324	996	377	253	423	202	185	154	241	87	118	94	66	50	50	38	29	30	25	29	24	25	8	13	32	15	9	6	7	4	8	22	2	7	4	1	9	3	2	3	4	4	3	3	0	1	2	1	1	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0
0.03	south36_active	80	5521	843	1618	369	392	386	1133	830	197	72	343	91	102	66	201	37	87	60	20	10	18	12	11	7	5	9	12	9	4	6	27	7	2	3	3	1	4	19	0	5	1	0	9	2	1	0	3	4	0	2	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0
0.03	south37_all	80	9591	2754	2794	1249	959	749	1602	1201	395	265	515	220	209	165	226	86	132	127	68	56	58	34	34	31	19	30	29	17	13	12	27	11	10	12	10	7	7	16	5	9	4	2	14	5	3	3	3	4	1	3	0	2	4	2	1	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	1	0	2	0	0	0	1	0	0	0	0	0
0.03	south37_active	80	6814	726	1999	433	456	430	1427	1037	231	69	444	116	131	71	187	42	100	97	24	13	22	5	13	9	3	8	15	4	4	6	24	7	3	9	7	3	4	13	1	7	2	0	14	3	2	0	2	4	1	2	0	2	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	1	0	0	0	0	0
0.03	south38_all	80	10348	2739	3099	1280	958	766	1906	1544	470	254	628	218	241	162	264	97	136	141	68	60	53	31	39	22	23	25	27	23	15	14	36	9	10	12	10	9	7	24	5	7	5	3	19	8	3	3	3	7	2	3	0	1	4	2	1	1	0	0	1	0	1	0	0	1	0	0	0	0	0	0	1	0	0	1	0	0	1	1	0	0	1	0	0
0.03	south38_active	80	7781	638	2393	494	487	479	1755	1380	299	58	561	129	161	73	220	49	108	121	26	13	18	3	7	9	4	8	14	7	5	5	33	5	3	9	7	3	2	24	1	7	3	0	19	3	2	0	1	7	1	3	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0
0.03	south39_all	80	10836	2837	3286	1305	998	814	2049	1659	490	276	729	257	260	165	305	100	130	150	72	54	44	32	43	23	26	26	22	19	14	15	47	8	9	16	9	11	6	26	5	6	5	2	15	9	2	1	2	5	3	1	0	1	3	2	0	1	1	0	1	0	2	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	1	1	0	0	1	0	0
0.03	south39_active	80	8357	634	2601	529	528	542	1904	1510	335	59	663	168	182	86	264	47	98	134	31	12	13	6	7	9	6	12	12	7	4	5	42	4	2	11	6	4	0	25	2	6	2	0	15	2	1	0	1	5	2	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0
0.03	south40_all	80	11033	2885	3320	1290	1024	836	2074	1634	492	288	710	246	244	162	315	110	134	152	67	48	45	43	44	18	30	23	15	20	19	20	54	5	8	14	4	11	6	31	5	3	7	3	10	6	1	2	1	6	2	2	2	1	1	2	0	1	1	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	1	1	0	0	1	0	0
0.03	south40_active	80	8490	685	2612	534	522	534	1934	1503	330	63	651	160	169	94	277	59	100	137	26	12	14	8	6	7	8	12	11	7	8	7	49	1	1	6	1	3	1	29	2	3	3	0	10	1	0	1	0	5	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0
