label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47	Otu48	Otu49	Otu50	Otu51	Otu52	Otu53	Otu54	Otu55	Otu56	Otu57	Otu58	Otu59	Otu60	Otu61	Otu62	Otu63	Otu64	Otu65	Otu66	Otu67	Otu68	Otu69	Otu70	Otu71	Otu72	Otu73	Otu74	Otu75	Otu76	Otu77	Otu78	Otu79	Otu80	Otu81
0.03	south21_all	80	34331	12706	8099	4990	8373	3707	2097	2004	2656	1219	746	1138	561	733	494	501	619	516	229	305	189	160	218	153	79	70	47	79	84	69	33	23	45	13	13	18	20	24	11	10	5	10	5	4	5	10	1	8	3	4	0	2	1	2	0	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
0.03	south21_active	80	17889	5959	3977	2287	5408	2060	1024	1083	1627	613	338	678	264	434	304	262	372	316	104	197	86	85	136	89	51	35	15	40	58	50	26	12	33	5	5	10	9	20	6	5	0	5	3	2	3	4	0	6	2	2	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south22_all	80	34337	12852	8103	4968	8325	3778	2091	2018	2664	1209	758	1155	568	771	512	504	575	526	237	299	208	174	217	157	80	66	55	84	70	77	32	18	43	21	12	22	22	16	10	4	4	8	4	5	7	9	1	3	2	3	0	2	0	1	2	0	2	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
0.03	south22_active	80	17901	6010	4022	2251	5473	2098	975	1079	1617	604	350	689	258	465	306	278	357	331	119	184	107	99	150	100	50	31	21	39	46	53	27	6	31	5	4	10	14	9	4	1	0	2	3	2	4	3	0	1	2	2	0	1	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south23_all	80	33970	12714	7962	5068	8060	3736	2125	1915	2525	1236	784	1123	546	769	553	478	495	510	213	299	195	178	193	169	76	63	61	72	70	60	39	16	36	18	17	34	25	16	12	6	5	8	3	3	5	10	3	4	3	2	2	4	0	0	3	0	2	1	1	1	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south23_active	80	17642	5924	3934	2321	5204	2108	1012	1031	1537	609	351	679	233	460	334	262	314	311	106	186	94	98	134	115	39	29	26	35	40	32	29	6	23	4	11	23	18	9	3	2	3	4	3	1	2	5	0	1	2	2	1	1	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south24_all	80	32320	12453	7601	5015	7463	3434	2058	1843	2325	1168	822	1066	546	715	519	461	496	480	201	260	174	163	179	156	75	62	60	71	47	58	46	25	33	16	24	35	20	16	10	5	5	9	4	2	4	4	2	5	4	1	4	3	0	1	3	0	2	4	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
0.03	south24_active	80	16326	5722	3611	2292	4752	1898	971	964	1362	582	361	633	236	414	294	255	319	280	110	156	87	95	118	103	37	29	24	36	22	25	33	8	18	5	16	24	16	10	3	2	3	6	3	1	1	3	0	1	3	1	3	1	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south25_all	80	30650	12439	7316	5144	6744	3238	2021	1746	2115	1129	803	956	541	629	475	456	462	397	207	232	150	129	153	159	60	68	61	60	49	48	56	26	28	15	24	25	16	15	9	7	5	10	6	2	2	3	5	6	4	1	5	3	0	2	1	0	2	4	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
0.03	south25_active	80	15101	5764	3376	2413	4093	1777	940	882	1229	526	373	562	231	345	252	253	286	224	115	137	68	66	94	96	29	30	28	37	26	21	39	6	17	8	16	21	13	12	3	3	3	6	4	0	0	2	1	2	2	1	4	1	0	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south26_all	80	29461	12386	7075	5020	6278	3046	1925	1683	2023	1063	786	924	534	596	461	448	371	385	209	220	151	128	163	134	60	67	57	49	47	44	42	30	28	14	21	20	15	18	5	4	6	7	9	3	2	2	8	5	3	5	3	1	0	2	1	0	2	3	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0
0.03	south26_active	80	14051	5740	3219	2386	3724	1636	883	859	1162	510	358	528	231	316	238	241	220	216	111	125	75	62	110	80	33	30	26	33	26	13	28	10	18	7	10	15	15	16	3	3	1	4	6	0	0	0	5	2	2	1	3	1	0	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south27_all	80	29810	12297	7143	4940	6345	3143	1929	1705	2039	1079	765	921	531	600	451	462	397	398	218	225	155	142	179	127	73	67	47	47	47	52	46	23	33	19	19	15	14	20	8	4	6	6	8	7	5	3	8	5	1	5	3	0	0	2	0	0	2	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
0.03	south27_active	80	14493	5598	3339	2318	3791	1638	890	875	1176	540	335	535	236	328	230	257	237	238	122	118	81	69	110	74	36	29	26	25	23	18	29	7	22	10	6	11	12	15	7	2	0	2	6	3	1	1	5	3	0	1	2	0	0	1	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south28_all	80	30590	12184	7275	4760	6559	3262	1946	1741	2155	1140	759	971	505	634	494	440	427	417	226	247	156	140	197	134	80	71	55	49	51	47	47	19	51	23	19	25	18	17	8	11	6	3	3	6	6	3	7	2	0	5	1	0	0	3	0	0	3	0	0	2	0	1	0	1	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
0.03	south28_active	80	15057	5468	3469	2201	3968	1753	898	917	1272	608	313	568	237	353	270	240	267	262	117	134	82	69	135	77	40	35	27	23	24	22	31	7	38	12	6	13	16	12	6	6	0	2	2	3	2	1	4	2	0	1	0	0	0	2	0	0	2	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south29_all	80	31689	12029	7531	4739	7275	3386	2033	1767	2349	1181	770	1056	531	678	536	468	498	447	214	277	158	131	165	137	81	74	45	53	63	71	63	26	49	29	20	23	18	16	12	12	5	8	1	7	5	3	8	3	0	6	1	2	0	2	1	0	4	2	1	2	1	1	0	1	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south29_active	80	15985	5357	3630	2120	4462	1827	942	942	1352	646	317	599	265	385	308	260	325	282	117	156	90	64	102	80	44	40	20	27	33	51	44	13	36	15	11	12	12	7	9	6	1	7	0	4	2	1	6	3	0	1	0	1	0	1	0	0	3	2	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south30_all	80	32646	12173	7829	4809	7821	3511	2022	1854	2399	1211	788	1135	534	726	593	454	575	470	217	277	185	115	164	155	71	68	60	58	76	70	67	24	59	22	24	33	17	12	12	16	10	9	3	5	2	6	6	7	1	3	1	4	0	1	2	0	4	2	1	2	1	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south30_active	80	16754	5550	3827	2186	4811	1984	935	990	1431	656	329	655	278	422	357	263	372	302	127	157	104	57	103	93	34	32	23	29	45	55	40	11	49	13	15	12	13	6	7	8	3	8	1	1	1	4	4	7	1	1	0	2	0	1	1	0	3	2	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south31_all	80	34098	12860	8202	4977	8238	3582	2134	1998	2534	1193	787	1070	611	794	573	459	550	477	238	268	198	158	216	152	92	83	46	67	63	57	46	21	44	23	18	16	22	20	6	8	7	7	14	9	3	4	2	10	1	4	3	2	4	1	1	0	1	2	1	0	2	0	0	1	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
0.03	south31_active	80	17814	6174	4074	2301	5199	2001	992	1049	1548	628	372	615	298	453	315	253	311	289	127	158	96	85	140	97	41	41	17	44	44	35	29	10	34	7	10	8	14	15	1	1	3	2	13	5	1	4	1	6	0	3	0	1	3	1	0	0	1	2	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
0.03	south32_all	80	32927	12761	7817	5076	7650	3498	2052	1882	2469	1186	793	1048	592	714	555	439	557	482	217	258	219	173	231	148	87	76	44	60	58	46	35	31	49	28	17	16	30	13	15	9	4	5	18	6	5	2	2	6	3	2	2	2	6	1	1	1	1	2	0	0	2	0	0	1	1	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
