label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47	Otu48	Otu49	Otu50	Otu51	Otu52	Otu53	Otu54	Otu55	Otu56	Otu57	Otu58	Otu59	Otu60	Otu61	Otu62	Otu63	Otu64	Otu65	Otu66	Otu67	Otu68	Otu69	Otu70	Otu71
0.03	north6_active	80	26511	9013	6506	3478	1574	1179	1060	985	960	591	760	269	270	436	143	194	172	81	74	94	50	79	73	54	83	22	16	31	19	13	16	4	7	11	10	4	3	1	3	2	2	1	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north7_all	80	45985	16607	11423	6433	3446	2499	2058	1753	1710	1177	1329	551	494	725	295	327	263	164	163	162	105	123	115	92	85	38	45	54	32	19	33	9	13	20	2	9	6	3	4	7	5	1	3	1	1	1	12	1	2	2	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
0.03	north7_active	80	26614	8963	6560	3587	1552	1185	1021	971	992	630	786	264	280	455	137	176	168	80	74	87	51	80	80	58	44	20	25	33	18	14	17	6	6	15	1	4	3	1	3	2	2	1	2	1	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north8_all	80	46084	16490	11467	6363	3449	2496	2084	1682	1732	1148	1413	551	459	786	297	353	243	158	172	190	115	119	110	96	76	33	44	51	32	20	38	10	12	22	2	3	7	4	6	10	5	2	7	1	1	0	1	1	3	2	0	1	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north8_active	80	26674	8921	6628	3493	1575	1130	1045	963	992	619	847	257	257	498	137	189	146	74	78	106	55	80	75	64	34	16	26	30	16	15	20	5	5	18	0	1	1	1	3	4	2	1	3	1	0	0	0	1	1	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north9_all	80	46048	16520	11603	6353	3377	2514	2043	1716	1640	1103	1480	539	464	775	278	379	239	158	164	199	142	114	155	88	72	32	57	60	29	20	22	13	10	29	4	4	7	5	4	15	1	1	6	2	1	0	1	1	3	2	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north9_active	80	26648	8960	6749	3473	1544	1136	1010	973	928	584	924	251	257	489	126	210	147	76	83	106	83	67	115	59	34	16	35	39	18	13	7	6	4	26	1	3	1	2	2	9	0	0	2	1	0	0	0	1	1	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north10_all	80	46316	16494	11771	6364	3422	2504	2043	1781	1657	1087	1467	561	485	789	273	377	231	142	168	188	146	124	158	89	91	35	54	63	27	19	24	10	16	19	7	4	9	5	4	12	4	1	7	4	0	0	0	4	2	0	0	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north10_active	80	26859	8896	6842	3464	1614	1142	1015	981	924	596	902	268	254	512	118	221	139	72	87	97	92	70	113	61	54	17	35	46	18	11	6	5	7	14	4	3	1	2	2	9	0	0	4	3	0	0	0	1	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north11_all	80	42565	15602	10762	5918	3280	2412	1906	1604	1615	1005	1340	520	490	641	293	304	226	143	154	160	115	72	116	101	83	44	58	55	40	23	20	15	10	11	28	7	1	4	6	3	2	2	1	3	1	1	2	2	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0
